QueryID,factorjoin_Estimate
1,2256800362.783467
2,29921473716.36783
3,24673771177962.0
4,1380672308.696379
5,663504545377.5233
6,99464776368.97266
7,166063732285.70612
8,1795001142278.6587
9,1781485726599.251
10,118682606429.61755
11,9360556652.043022
12,1.3484608729647994e+16
13,2528307.0
14,2528307.0
15,1.4723639737770636e+16
16,1.883471898995901e+20
17,1.1746131833906838e+16
18,1.1212967705017532e+18
19,9.806092876191544e+16
20,2528307.0
21,1.388456309883861e+17
22,2528307.0
23,2528307.0
24,6.095151928291917e+21
25,2.4514200743270443e+23
26,2528307.0
27,8200520127556.822
28,2528307.0
29,2.562409695813848e+19
30,12693618229.378525
31,2528307.0
