QueryID,lpbound_Estimate
1,6023891.641701842
2,59253999.48506835
3,370148895.2568954
4,16219594.070239777
5,89174138.61208883
6,517128714.96023613
7,211081870543.996
8,1571109319.4396896
9,1571109319.4396858
10,139612320.0585692
11,484153704.13393813
12,315186615.08538914
13,315186615.08538914
14,1480595581.027578
15,129788459369.22975
16,265117983253.64886
17,9925302659.251047
18,2692927842.7291517
19,467158504422.5362
20,886534088.6852545
21,358651805503.0133
22,42733777124.120224
23,20639793500.45542
24,152552693028609.34
25,361700082945.0536
26,2991705439.5014086
27,717303611006.0231
28,82559174001.82208
29,686041897893.1162
30,9419099.657899346
31,729981065.1253035
