QueryID,postgres_Estimate
1,7290809.62
2,23951319.306
3,196105207.361
4,13343521.28
5,78824554.38
6,165492120.859
7,1787903.8464
8,218099650.0
9,107239420.5
10,46857963.52
11,7327403.52
12,230605111.1
13,230605111.1
14,577826789.65
15,2637775812.385
16,996924373.761
17,437290426.563
18,1600281487.09
19,3222879160.82
20,11104413.66
21,220561595.0
22,3065237168.658
23,284643672.0395
24,41756879.217428
25,21110877570.444
26,929168.0497
27,128164.002048
28,798648.6844156
29,11071947.210705
30,1386203.5199999998
31,9479.4912
