QueryID,safebound_Estimate
1,6231809.34
2,59616820.98
3,390797892.21999997
4,18138849.24
5,92298837.18
6,476841704.17
7,294525231840.0
8,1971620836.0000002
9,1939634736.0
10,122636076.4
11,587848192.0
12,333490468.35999995
13,333490468.35999995
14,1559436155.2
15,178688038903.5
16,452278789374.0
17,11723105052.539999
18,2842458026.02
19,822929339122.0
20,822549160.0
21,580518118040.0
22,52093932176.700005
23,25866648255.239998
24,333718284713477.0
25,397010533414.32
26,3304260711.5
27,1159817466450.0
28,103437318598.31999
29,785335790526.75
30,9049228.799999999
31,1105940640.0
