QueryID,dbx_Estimate
1,1397.36
2,271.754
3,213.595
4,764.166
5,100345
6,5.65837e+07
7,2.15095e+07
8,9.62323e+07
9,1.75575e+06
10,667424
11,2.98602e+06
12,1.64877e+07
13,6.26759e+06
14,1.20582e+07
15,1339.91
16,8730.16
17,15.5434
18,904.006
19,3.84494e+07
20,4.61669e+06
21,701766
22,2.16855e+07
23,8.33016e+06
24,3.05054e+06
25,308976
26,3.63237e+06
27,898882
28,6.17792e+06
29,2.34845e+06
30,2.77162e+07
31,4145.27
32,12521.4
33,9.76189e+06
34,403793
35,1367.79
36,1.44193e+06
37,1.94535e+06
38,1.81239e+06
39,6.14272e+06
40,9.19921e+06
41,3.76338e+07
42,1.33834e+07
43,4.70622e+07
44,1.5597e+06
45,3.4695e+06
46,1.41168e+07
47,5.55371e+07
48,3.39534e+06
49,2.31463e+07
50,1.26696e+07
51,1.79073e+07
52,1.39628e+07
53,128946
54,132336
55,269894
56,1.40293e+07
57,1.13985e+07
58,3.36171e+07
59,381.846
60,1.2027e+08
61,5.272e+08
62,8.05842e+07
63,1.3478e+07
64,1.15574e+07
65,37525.3
66,3.00214e+07
67,2.20747e+07
68,1884.49
69,3219.2
70,2.88301e+08
