QueryID,duckdb_Estimate
1,148617
2,29723
3,29723
4,29723
5,86
6,4670166
7,4670166
8,4670166
9,128843
10,128843
11,128843
12,1346735
13,1346735
14,1346735
15,1526637
16,7633185
17,1526637
18,1526637
19,7633185
20,5560902
21,5560902
22,5560902
23,2001074
24,2001074
25,2001074
26,400214
27,400214
28,400214
29,400214
30,4402359
31,8
32,43
33,974376
34,2462
35,19698
36,2462
37,2051
38,7115
39,7115
40,8538
41,64573
42,64573
43,64573
44,534
45,187174
46,37434
47,187174
48,25736
49,128682
50,25736
51,6361002
52,6361002
53,39
54,39
55,39
56,8264
57,8264
58,35327
59,7065
60,35327
61,256925
62,51385
63,665887
64,665887
65,1
66,8264
67,8264
68,7065
69,7065
70,51385
