QueryID,neurocard_Estimate
1,1814.0
2,19.0
3,51.0
4,43.0
5,42981.0
6,50513202.0
7,9035578.0
8,138870148.0
9,293211.0
10,99457.0
11,750256.0
12,2325489.0
13,499216.0
14,5463355.0
15,246.0
16,112123.0
17,5.0
18,1707.0
19,72753393.0
20,496620.0
21,95752.0
22,1477627.0
23,4067404.0
24,1136777.0
25,311488.0
26,1309347.0
27,367712.0
28,2491306.0
29,795140.0
30,19367935.0
31,3668.0
32,12293.0
33,21674199.0
34,15355.0
35,57.0
36,70518.0
37,1373240.0
38,144464.0
39,2522051.0
40,636076.0
41,480206644.0
42,190821081.0
43,557686500.0
44,3995505.0
45,967325.0
46,1052369.0
47,7569749.0
48,18052878.0
49,121216334.0
50,66465683.0
51,145968856.0
52,72948546.0
53,457328.0
54,636481.0
55,1094028.0
56,7936256.0
57,4927869.0
58,1233961162.0
59,117585.0
60,9054027664.0
61,382609116.0
62,29958638.0
63,90519197.0
64,48797494.0
65,33082.0
66,22234677.0
67,13849475.0
68,638728.0
69,216496.0
70,195627510.0
