QueryID,postgres_Estimate
1,132
2,1
3,11
4,1
5,43256
6,10688205
7,4121878
8,18189207
9,332804
10,123682
11,561057
12,3121498
13,1228201
14,5426904
15,559
16,52596
17,14
18,1977
19,35571219
20,4111249
21,678663
22,20280041
23,7795242
24,2940102
25,270479
26,3040519
27,761167
28,5136920
29,1983008
30,25670234
31,2288
32,4771
33,4222613
34,13196
35,1
36,50037
37,75821
38,18075
39,114359
40,167927
41,3036532
42,1070316
43,4036131
44,698588
45,339426
46,1047792
47,4041650
48,1262015
49,9270440
50,5024336
51,15495287
52,9504580
53,11149
54,11179
55,29360
56,110911
57,92683
58,2555903
59,107
60,9087602
61,7433186
62,1066470
63,1711358
64,1246930
65,638
66,228227
67,165771
68,283
69,95
70,3817056
