QueryID,truecardinality_Estimate
1,715
2,9
3,47
4,16
5,148552
6,62682311
7,11990578
8,157041640
9,850677
10,179616
11,2031666
12,6333736
13,1931628
14,12738520
15,1224
16,13221
17,33
18,1224
19,114182642
20,4533382
21,695701
22,21454165
23,13355828
24,4450853
25,794591
26,4893440
27,1381288
28,8720023
29,2873214
30,56965403
31,7153
32,14102
33,31339132
34,75440
35,72
36,305691
37,1919495
38,150780
39,3243247
40,1043763
41,512575801
42,206778521
43,625302823
44,7796926
45,1831108
46,2936093
47,16461908
48,24675801
49,132317651
50,90649862
51,151179813
52,84217062
53,333474
54,307213
55,658557
56,8275169
57,5060606
58,1352809555
59,191935
60,9537310863
61,492943940
62,32355583
63,81495003
64,51282842
65,19006
66,26718423
67,15813608
68,1067496
69,268172
70,258385218
