QueryID,dbx_Estimate
1,17921.2
2,551.694
3,127251
4,31801.8
5,249865
6,138344
7,92717.1
8,14432.5
9,64316.5
10,66782.3
11,44086.2
12,1022.75
13,12.2671
14,2138.9
15,215672
16,112393
17,1477.67
18,1006.71
19,28129.3
20,38613.5
21,34418.5
22,4703.19
23,15310.5
24,102617
25,12.8845
26,70.1809
27,159.057
28,6.14442
29,31536.3
30,927.765
31,261156
32,6727.47
33,13614.5
34,181380
35,46994
36,1445.67
37,45317.3
38,19105.5
39,96547.9
40,86916.9
41,74251.2
42,45994.6
43,43921.2
44,131331
45,121187
46,24104.6
47,1450.12
48,23725
49,50648.5
50,5.30208
51,32142.2
52,316942
53,11977.6
54,6448.71
55,128571
56,271.28
57,1415.64
58,1
59,3.80595
60,23.6402
61,1
62,20216.1
63,5755.62
64,57.9738
65,25.1202
66,1
67,1
68,112.539
69,127.56
70,96.771
71,164.403
72,61.5614
73,259.679
74,173.637
75,205.494
76,791.403
77,1
78,26.2706
79,264.563
80,2.39935
81,33.1303
82,316.91
83,64.6527
84,1
85,1
86,5.92931
87,2.39935
88,52.1479
89,407.918
90,393.726
91,7.9672
92,360.968
93,872.427
94,319.31
95,4349.61
96,2.89962e+06
97,320.234
98,1
99,1417.87
100,1
101,1
102,20.2423
103,31.638
104,63.1556
105,3.10643
106,11.959
107,10582.6
108,57.4005
109,25.5017
110,35.3368
111,1
112,18207.1
113,11.9891
114,8614.42
115,38.3203
116,1344.7
117,1
118,488003
119,12859.1
120,1
121,215.997
122,526.053
123,31.1077
124,2197.14
125,3.57001
126,1
127,64.5609
128,1
129,146.941
130,3.72098e+06
131,1
132,3205.04
133,1915.34
134,584.202
135,115.735
136,1032.4
137,8.63708
138,10491
139,2.78465e+07
140,1.44792
141,31.1077
142,682166
143,1.16578
144,15788
145,1
146,32423.4
147,30.3628
148,13571.9
149,2.94077
150,1
151,31.1077
152,9027.23
153,1.33191
154,1.0042
155,38.3507
156,50.7569
157,234.166
158,1524.71
159,1
160,274053
161,828013
162,372.945
163,404023
164,10.7892
165,4573.83
166,40.8741
167,17.1987
168,93.1133
169,1.15613e+06
170,1.55253
171,117.808
172,247734
173,825367
174,6512.72
175,23435
176,1
177,8.7396
178,6.85385
179,2683.58
180,128084
181,802.321
182,6.59498
183,2.89572
184,1.45362
185,9.86087
186,2.89572
187,666930
188,61.8118
189,4260.34
190,64.5466
191,9.68754
192,38.8913
193,4500.66
194,32.713
195,2.89572
196,12612.1
197,127.528
198,7.61129
199,35.1495
200,350.249
201,2.89572
202,2.89572
203,529791
204,301.087
205,2.89572
206,2.23409e+06
207,1023.64
208,1636.74
209,14.3593
210,2.89572
211,94.4862
212,747681
213,1.13504e+06
214,218153
215,1
216,28.8691
217,2.32892
218,57.0687
219,9.32368
220,1
221,114680
222,414577
223,417473
224,963.117
225,353.198
226,439099
227,73.9095
228,1.51501
229,138473
230,4.81406
231,2.29703e+06
232,5.11464e+06
233,233325
234,25.1833
235,14.6935
236,5049.61
237,239622
238,18.6798
239,9.95765e+06
240,6.3478
241,9891.47
242,515971
243,1.24643e+06
244,45318.6
245,6.65283e+06
246,389658
247,6.72856e+06
248,7000.33
249,14818.9
250,14556.8
251,4512.59
252,2.543e+06
253,196.756
254,150002
255,8.81347e+06
256,33480.9
257,140272
258,191111
259,224489
260,918251
261,299656
262,363585
263,439163
264,2.65334e+06
265,191.483
266,100224
267,62.0756
268,187.523
269,175.743
270,1
271,99946.1
272,4.2434e+06
273,1027.94
274,1.45424e+06
275,1.24704e+06
276,197.363
277,43377.3
278,982.393
279,14.5002
280,1
281,45.479
282,1
283,629.084
284,1
285,1.54477e+06
286,1
287,1
288,1
289,2.68143e+06
290,294.093
291,15.5434
292,862.066
293,1
294,1
295,61.4603
296,3.9247
297,61880.8
298,1
299,385792
300,87.1032
301,58.9086
302,1545.96
303,12593.9
304,448.395
305,230564
306,231.256
307,777932
308,174.924
309,1
310,641.063
311,1.68833e+06
312,15.5434
313,1
314,503323
315,238006
316,943.17
317,2.37164
318,1517.63
319,41823.9
320,926.82
321,38295.2
322,4.57768e+06
323,1
324,2.73725e+06
325,1672.57
326,701.12
327,5.03434e+06
328,14.8917
329,66.6371
330,104.647
331,558768
332,45508.6
333,4803.2
334,22325.7
335,2.13491
336,1.70494e+06
337,4.104e+06
338,635154
339,510160
340,154072
341,13457.5
342,11527.1
343,703593
344,110196
345,1.1967e+06
346,764934
347,8853.57
348,19.0944
349,225796
350,183.412
351,424.616
352,4.12191e+06
353,15.6073
354,2.32527e+06
355,2.97723e+06
356,154717
357,4.17184
358,106869
359,293168
360,551084
361,17720.9
362,963180
363,68.9816
364,997.673
365,418.115
366,660970
367,270635
368,29665.2
369,12.9767
370,425.702
371,173.109
372,31.8085
373,275.825
374,172.722
375,69493.7
376,688291
377,9.81376
378,8082.2
379,67982.5
380,985.439
381,2.80544e+06
382,10.728
383,31.8366
384,998423
385,1.00715e+06
386,5317.2
387,11.5755
388,4250.53
389,4163.9
390,4.64906e+06
391,449235
392,36.2829
393,132176
394,9217.43
395,1222.99
396,4.65252
397,18228.4
398,4.19091e+06
399,15180.9
400,285810
401,585259
402,28.6415
403,111015
404,50.9416
405,113678
406,332626
407,5488.91
408,542.397
409,231.07
410,1106.22
411,89724.5
412,309473
413,5857.87
414,121414
415,7.21479e+06
416,912.547
417,1.01907e+06
418,274647
419,222285
420,497683
421,51021.2
422,556317
423,1839.86
424,4.53575e+06
425,7.04438e+06
426,187909
427,91.6483
428,314053
429,38879.5
430,2.32887
431,297879
432,4664.87
433,4591.79
434,796353
435,1.61789e+06
436,1.73677e+06
437,576.405
438,11394.2
439,366597
440,8065.41
441,30613
442,9609.71
443,1.74979
444,6.02873e+06
445,5.38053e+06
446,5695.34
447,6.24178e+06
448,9.49639e+06
449,895.013
450,1.51013e+06
451,6699.08
452,126014
453,1.97406e+06
454,2894.95
455,3.92391e+06
456,4460.47
457,531936
458,15213.2
459,80938.7
460,21429.1
461,118.44
462,1.25147e+06
463,72587.5
464,815649
465,159.901
466,246.613
467,1.19862e+06
468,8.64116e+06
469,150089
470,406.245
471,172511
472,6511.34
473,161.18
474,2.34707e+07
475,490.957
476,75254.1
477,993.212
478,1.42562e+06
479,48825.9
480,156205
481,390398
482,7.48007e+06
483,101.64
484,726003
485,2.70859e+06
486,2587.58
487,351.898
488,402.765
489,56.5298
490,1.08714e+06
491,66160.6
492,89189.7
493,2803.02
494,115584
495,7.09713e+06
496,9.39861
497,1
498,1.3742e+06
499,19.3476
500,41.3483
501,2.15151
502,13.252
503,1173.79
