QueryID,duckdb_Estimate
1,247696
2,9
3,123848
4,2293
5,297235
6,30962
7,30962
8,30962
9,5897
10,30962
11,30962
12,19
13,9
14,1474
15,74308
16,30962
17,1474
18,1474
19,30962
20,134
21,30962
22,5897
23,1474
24,30962
25,9
26,19
27,76
28,9
29,1474
30,1474
31,123848
32,5897
33,123848
34,247696
35,30962
36,1474
37,148617
38,33
39,30962
40,30962
41,30962
42,30962
43,30962
44,30962
45,37154
46,37154
47,1474
48,5897
49,61924
50,38
51,1474
52,123848
53,134
54,1474
55,37154
56,162396
57,8
58,25
59,81198
60,162396
61,25
62,187380
63,405991
64,81198
65,81198
66,25
67,25
68,0
69,81198
70,7
71,97437
72,97437
73,125
74,81198
75,81198
76,162396
77,25
78,162396
79,97437
80,50
81,97437
82,125
83,81198
84,3866
85,25
86,81198
87,50
88,81198
89,250
90,81198
91,3866
92,81198
93,14
94,8
95,14
96,811981
97,125
98,25
99,125
100,25
101,25
102,81198
103,81198
104,97437
105,3866
106,81198
107,19332
108,81198
109,81198
110,0
111,3
112,66852
113,530
114,68
115,0
116,0
117,0
118,2652
119,779942
120,11142
121,0
122,11142
123,779942
124,82
125,3
126,3
127,0
128,3
129,11142
130,55710
131,11142
132,779942
133,0
134,1
135,935929
136,779942
137,530
138,2652
139,3899714
140,11142
141,0
142,55710
143,3
144,55710
145,11142
146,0
147,17
148,1203
149,0
150,3
151,0
152,2652
153,0
154,11142
155,13370
156,11142
157,17
158,779942
159,3
160,2652
161,55710
162,11142
163,55710
164,11142
165,0
166,21473
167,85895
168,1
169,5112
170,23
171,85895
172,107369
173,5112
174,0
175,7
176,17179
177,21473
178,21473
179,33
180,116
181,33
182,6362
183,26
184,21473
185,21473
186,26
187,31813
188,25768
189,2
190,25768
191,1022
192,21473
193,2
194,21473
195,869
196,1086
197,85895
198,4090
199,21473
200,1
201,26
202,26
203,107369
204,7
205,26
206,107369
207,9
208,1
209,85895
210,0
211,21473
212,107369
213,5112
214,7953
215,6
216,21473
217,25768
218,21473
219,23
220,6
221,19278
222,19278
223,1530
224,346
225,16065
226,16065
227,9
228,4
229,19278
230,4
231,32130
232,1124560
233,32130
234,9
235,4
236,765
237,765
238,4
239,1124560
240,4
241,325
242,16065
243,32130
244,16065
245,1124560
246,1530
247,1124560
248,765
249,19278
250,19278
251,346
252,1124560
253,4
254,765
255,1124560
256,16065
257,32130
258,32130
259,16065
260,1530
261,16065
262,107100
263,16065
264,2249119
265,4
266,16065
267,4
268,4
269,765
270,4
271,16065
272,2249119
273,346
274,32130
275,1124560
276,1272200
277,578273
278,60580
279,138785
280,2369
281,254440
282,35
283,178
284,35
285,94237
286,0
287,5507
288,0
289,1272200
290,1272200
291,392
292,1272200
293,12116
294,5507
295,12
296,112
297,1272200
298,78
299,1272200
300,115654
301,305327
302,138785
303,112
304,115654
305,42835
306,115654
307,578273
308,1526637
309,35
310,5
311,693926
312,60580
313,0
314,578273
315,578273
316,5
317,5507
318,138785
319,11845
320,27536
321,1385
322,6361002
323,0
324,693926
325,10
326,10
327,578273
328,2842
329,0
330,10
331,1112180
332,20061
333,20061
334,220671
335,9
336,421281
337,421281
338,220671
339,220671
340,458
341,20061
342,458
343,421281
344,505536
345,505536
346,421281
347,20061
348,129
349,5560902
350,1429
351,129
352,505536
353,129
354,505536
355,421281
356,5047
357,2
358,20061
359,8629
360,421281
361,20061
362,505536
363,129
364,1429
365,458
366,20061
367,421281
368,5047
369,129
370,20061
371,1429
372,2
373,458
374,129
375,10355
376,421281
377,129
378,5047
379,421281
380,1429
381,421281
382,129
383,129
384,421281
385,421281
386,6831
387,51
388,6831
389,7940
390,2201180
391,333512
392,102
393,166756
394,4099
395,162
396,51
397,166756
398,3668641
399,3415
400,200107
401,166756
402,51
403,7940
404,51
405,7940
406,166756
407,181
408,565
409,51
410,181
411,366864
412,135876
413,15881
414,200107
415,271753
416,7940
417,200107
418,7940
419,166756
420,174697
421,166756
422,166756
423,565
424,2201180
425,1834321
426,166756
427,181
428,166756
429,15881
430,2
431,166756
432,7940
433,76964
434,87348
435,166756
436,2201180
437,7940
438,7940
439,333512
440,333512
441,152
442,177
443,1
444,144071
445,144071
446,98
447,144071
448,288142
449,0
450,1219
451,2058
452,2058
453,4116
454,2058
455,4116
456,3799
457,144071
458,392
459,2058
460,2469
461,5
462,6860
463,2469
464,2058
465,0
466,44
467,12348
468,345770
469,2058
470,1
471,8232
472,177
473,2
474,13721
475,0
476,98
477,44
478,16465
479,88
480,98
481,2915
482,172885
483,0
484,2469
485,784
486,5
487,0
488,41
489,2058
490,6860
491,2058
492,98
493,5
494,8232
495,16465
496,1427
497,0
498,7137
499,0
500,67
501,67
502,30
503,1427
504,67
505,23790
506,42
507,7137
508,28548
509,154
510,5709
511,0
512,99921
513,119905
514,6851
515,339
516,499605
517,4758
518,0
519,0
520,1427
521,5709
522,1427
523,499605
524,2
525,0
526,8
527,30
528,95162
529,35
530,99921
531,0
532,0
533,28548
534,30
535,7137
536,616
537,99921
538,67
539,0
540,0
541,6851
542,0
543,1712
544,1
545,0
546,0
547,0
548,1427
549,23790
550,0
551,17991
552,2570
553,257
554,233
555,3778266
556,6477
557,1285
558,26987
559,1
560,12954
561,32385
562,257
563,1285
564,582
565,33
566,116
567,0
568,514
569,453391
570,257
571,35983
572,17991
573,32385
574,116
575,257
576,33
577,53975
578,5397
579,6477
580,582
581,2570
582,1
583,12954
584,257
585,1285
586,0
587,5397
588,26987
589,10795
590,66
591,26987
592,582
593,8
594,1
595,53975
596,2570
597,5397
598,26987
599,16
600,453391
601,3
602,377826
603,257
604,32385
605,1
606,54935
607,2179
608,53
609,119899
610,2179
611,70
612,10899
613,2179
614,21799
615,4359
616,274677
617,2517885
618,0
619,70
620,310
621,9
622,28
623,241716
624,776
625,2179
626,91559
627,4
628,119899
629,937
630,70
631,1
632,45779
633,310
634,45779
635,155
636,53
637,549355
638,45779
639,0
640,28
641,274677
642,44
643,70
644,4
645,5626
646,23979
647,0
648,54935
649,274678
650,503577
651,14
652,91559
653,4
654,100715
655,54935
656,70
657,11253
658,457797
659,70
660,141
661,3
662,124782
663,11343
664,3403
665,8734803
666,794073
667,2835
668,31195
669,415943
670,198518
671,3
672,61
673,11343
674,134
675,38
676,6
677,5
678,0
679,2835
680,2183702
681,198518
682,158814
683,4879
684,2183702
685,19519
686,13612
687,5942
688,9453
689,0
