QueryID,postgres_Estimate
1,593
2,256
3,32944
4,175
5,261811
6,110755
7,67913
8,29447
9,3042
10,68451
11,15262
12,42
13,1
14,162
15,258505
16,111690
17,2268
18,1043
19,12541
20,2756
21,9415
22,453
23,1559
24,106876
25,1
26,1
27,36
28,1
29,861
30,40
31,99568
32,1265
33,2746
34,42724
35,50646
36,1
37,19431
38,532
39,123208
40,37646
41,46289
42,42412
43,9667
44,98498
45,197684
46,8841
47,6026
48,359
49,139563
50,17
51,1493
52,58538
53,18
54,1125
55,406033
56,88
57,3678
58,1
59,4
60,78
61,1
62,4720
63,181
64,37
65,172
66,1
67,1
68,1
69,9
70,59
71,26
72,103
73,61
74,34
75,25
76,116
77,1
78,5
79,60
80,1
81,28
82,174
83,166
84,1
85,1
86,23
87,1
88,10
89,119
90,47
91,1
92,58
93,6
94,213
95,35
96,894255
97,517
98,1
99,1787
100,1
101,1
102,8
103,4
104,163
105,1
106,57
107,53
108,53
109,36
110,1
111,1
112,2575
113,1
114,853
115,29
116,74
117,1
118,6062
119,153
120,17
121,226
122,526
123,523
124,325
125,1
126,1
127,22
128,1
129,8
130,3311427
131,7
132,881
133,2449
134,5161
135,1351
136,677
137,1
138,188
139,9393800
140,2
141,1
142,624020
143,1
144,469
145,29
146,3490
147,1
148,76
149,1
150,1
151,1
152,11
153,1
154,1
155,25
156,32
157,2
158,798
159,1
160,2384
161,278181
162,14
163,4700
164,62
165,5404
166,20
167,84
168,677
169,24
170,1
171,1
172,706
173,8555
174,14
175,9688
176,1
177,1
178,7
179,23
180,28
181,2
182,1
183,1
184,24
185,1
186,1
187,7305
188,79
189,1755
190,54
191,1
192,10
193,1911
194,10
195,1
196,51
197,65
198,1
199,22
200,11
201,1
202,1
203,98619
204,12
205,1
206,954317
207,25
208,72
209,51
210,1
211,7
212,189252
213,2009
214,13686
215,1
216,11
217,6
218,13
219,1
220,1
221,14603
222,856526
223,3624
224,201
225,3
226,326319
227,1
228,1
229,585528
230,1
231,223639
232,823519
233,34669
234,1
235,1
236,55
237,5900
238,5
239,3402161
240,1
241,441
242,58509
243,94887
244,27395
245,3371889
246,5255
247,3687657
248,775
249,43926
250,24794
251,16
252,1276981
253,121
254,4591
255,3443248
256,36874
257,706352
258,1613
259,49224
260,21783
261,73753
262,26576
263,311241
264,557346
265,37
266,35650
267,50
268,37
269,10
270,1
271,97763
272,3273311
273,194
274,305302
275,2009318
276,16
277,783237
278,12
279,246
280,1
281,179
282,1
283,370
284,1
285,63874
286,1
287,1
288,1
289,10483665
290,320
291,1
292,211
293,3
294,16
295,4
296,1
297,285341
298,1
299,2122820
300,290
301,1006
302,168
303,152
304,169
305,10806
306,174
307,1243477
308,1061
309,1
310,225
311,974857
312,1
313,1
314,941822
315,482166
316,130
317,1
318,578
319,26862
320,1822
321,52862
322,3296256
323,1
324,2189076
325,194
326,11
327,7857412
328,3
329,28
330,745
331,447089
332,1424
333,999
334,1864
335,5
336,270229
337,2548832
338,36282
339,32405
340,23305
341,4190
342,6346
343,279607
344,72287
345,292834
346,367564
347,250
348,3
349,1937436
350,72
351,66
352,1402976
353,2
354,1400215
355,862353
356,36819
357,1
358,903
359,36492
360,2560550
361,8624
362,532464
363,5
364,415
365,13
366,37825
367,45399
368,559
369,1
370,2
371,14
372,3
373,2
374,142
375,12361
376,131787
377,3
378,36832
379,52955
380,172
381,2572033
382,2
383,2
384,397390
385,878799
386,9559
387,7
388,2064
389,22084
390,1752115
391,731633
392,19
393,335704
394,3234
395,65
396,2
397,29329
398,3429017
399,6020
400,378834
401,517873
402,4
403,16982
404,38
405,50725
406,183905
407,1851
408,22
409,6
410,1133
411,258110
412,15722
413,1211
414,571816
415,193663
416,629
417,1737816
418,78832
419,909651
420,22005
421,31002
422,812671
423,1544
424,2530231
425,3855427
426,1164242
427,465
428,754676
429,3602
430,1
431,212897
432,124
433,442
434,87364
435,2687002
436,5582708
437,23
438,4500
439,502454
440,10672
441,620
442,3786
443,1
444,3189227
445,3069467
446,53
447,4064508
448,6276714
449,3
450,24852
451,163
452,28852
453,1570482
454,1411
455,3573520
456,1132
457,48733
458,2465
459,99599
460,14451
461,2
462,8017
463,6185
464,15008
465,6
466,16
467,1211534
468,4212792
469,37064
470,15
471,90359
472,1641
473,22
474,89216
475,131
476,9752
477,15
478,294729
479,1005
480,1538
481,1533
482,11555982
483,22
484,560122
485,16524
486,129
487,33
488,9
489,1
490,47326
491,62039
492,1361
493,51
494,134676
495,44570
496,41
497,1
498,1179743
499,1
500,1
501,1
502,1
503,38
504,1
505,50888
506,109894
507,3541773
508,3698252
509,2191
510,18
511,227
512,73
513,1429
514,250
515,71286
516,12819006
517,7
518,7
519,1
520,129
521,66
522,21
523,12360713
524,200
525,11
526,6979
527,1
528,65012
529,241965
530,731
531,1
532,333
533,757909
534,1
535,368518
536,167
537,198
538,1
539,1
540,1
541,1588
542,1
543,61
544,1
545,9
546,1
547,1
548,13
549,13655
550,1
551,15
552,20647
553,1
554,1
555,4351915
556,187
557,255370
558,5289635
559,1
560,2752
561,3802
562,1
563,12280
564,5009
565,407754
566,1
567,1
568,1
569,6268
570,1
571,15
572,11
573,709
574,1
575,1
576,169332
577,30687
578,14
579,26
580,1616
581,8382
582,1
583,904
584,2
585,43910
586,6
587,168
588,3011095
589,1910
590,1173
591,1145436
592,19608
593,271
594,1
595,238491
596,41592
597,63
598,1014986
599,5
600,7126
601,1
602,1670
603,1
604,4724589
605,1
606,3597
607,23
608,3743
609,520330
610,2
611,2626
612,429806
613,1
614,261807
615,4
616,9676744
617,10227153
618,2
619,273
620,1
621,378
622,1
623,3700
624,7125
625,8
626,1569
627,376
628,593299
629,3
630,4858
631,1
632,101
633,1
634,45
635,1
636,14487
637,33342798
638,802
639,2634
640,1
641,58409259
642,2162
643,752
644,62787
645,123
646,31
647,1
648,980
649,2969
650,1981
651,1
652,273
653,7223
654,1162
655,350
656,63
657,548227
658,22949
659,2902
660,318
661,96
662,6275
663,2443728
664,90634
665,740260
666,14122102
667,78939
668,2088823
669,2732
670,359983
671,1017
672,570
673,67531
674,8576
675,71
676,24
677,86
678,8
679,203271
680,14656894
681,64053
682,834
683,146919
684,44613668
685,147921
686,6501931
687,93893
688,5430
689,1
690,5041627
691,19348
692,155
693,603
694,68787
695,11398
696,63784
697,78823
698,2958042
699,1986
700,12708
701,87550
702,272933
703,24682274
704,54
705,1268
706,2441599
707,7504908
708,2
709,38
710,19265
711,29402404
