QueryID,truecardinality_Estimate
1,11637
2,383
3,79017
4,6167
5,91761
6,266208
7,293277
8,3014
9,37797
10,154286
11,50805
12,33
13,2
14,711
15,74486
16,158431
17,372
18,2362
19,36816
20,9552
21,5380
22,828
23,11091
24,142270
25,7
26,3
27,9
28,6
29,12368
30,128
31,27753
32,2562
33,88620
34,163824
35,112070
36,1110
37,30990
38,6304
39,274616
40,152818
41,168856
42,57841
43,13480
44,296250
45,141823
46,39346
47,3529
48,4509
49,28307
50,3
51,18602
52,32106
53,1644
54,3476
55,55272
56,1286
57,16315
58,23
59,26
60,188
61,14
62,76294
63,14534
64,300
65,5577
66,13
67,10
68,174
69,341
70,2375
71,76
72,2601
73,15764
74,3025
75,4475
76,1090
77,4
78,645
79,1149
80,29
81,82
82,4577
83,2124
84,1
85,37
86,1
87,34
88,815
89,2771
90,298
91,15
92,287
93,307
94,7856
95,9209
96,509688
97,4327
98,64
99,32961
100,29
101,20
102,79
103,22
104,1179
105,5
106,53
107,1520
108,2001
109,2176
110,46
111,27
112,10320
113,40
114,25615
115,199
116,5053
117,79
118,678178
119,9128
120,59
121,3347
122,19130
123,99
124,695
125,5
126,8
127,17020
128,43
129,1399
130,6594972
131,23
132,56888
133,23150
134,8714
135,55
136,571
137,3
138,28815
139,165076309
140,219
141,1207
142,11770123
143,1
144,27561
145,38
146,46338
147,227
148,28600
149,55
150,1
151,64
152,250
153,5
154,4
155,585
156,567
157,78
158,27816
159,2
160,854261
161,11838094
162,4006
163,1670
164,4791
165,4137
166,229
167,3
168,2802
169,4054
170,1
171,6
172,23796
173,31478
174,11
175,46701
176,6
177,60
178,18
179,197
180,317
181,76
182,12
183,3
184,1
185,1
186,3
187,8748
188,8
189,4009
190,62
191,4
192,62
193,4774
194,12
195,3
196,2664
197,102
198,6
199,526
200,131
201,3
202,3
203,854464
204,39
205,3
206,264460
207,193
208,447
209,21
210,3
211,43
212,1500007
213,3365
214,65912
215,1
216,5
217,4
218,184
219,1
220,1
221,38679
222,3819244
223,164618
224,5476
225,3862
226,1290161
227,840
228,60
229,459123
230,1
231,185404
232,4093857
233,32826
234,1512
235,360
236,3820
237,211104
238,1230
239,12032087
240,2
241,5805
242,500819
243,181760
244,1253083
245,19155456
246,6671
247,20791964
248,50106
249,89274
250,52484
251,295
252,6835697
253,118
254,62370
255,21619637
256,1858
257,110469
258,14072
259,354654
260,239635
261,108747
262,444310
263,1471264
264,4077027
265,45
266,12792
267,5456
268,2168
269,910
270,19
271,147596
272,12692472
273,6191
274,59795
275,2972716
276,2199
277,439305
278,1086
279,27
280,25
281,534
282,46
283,1975
284,6
285,639867
286,4
287,4
288,5
289,18104361
290,590
291,122
292,6339
293,23
294,77
295,4
296,14
297,782663
298,4
299,6795326
300,1136
301,1251
302,2526
303,1515
304,1438
305,59357
306,3271
307,2800839
308,567
309,2
310,10383
311,9134437
312,38
313,3
314,1845302
315,658076
316,8740
317,102
318,4341
319,454987
320,1915
321,64219
322,11267677
323,1
324,5561348
325,1230
326,1137
