QueryID,dbx_Estimate
1,68812.2
2,421165
3,235889
4,301911
5,338127
6,131585
7,66754.9
8,45159.1
9,482036
10,47179.3
11,174625
12,2.29193e+06
13,478711
14,1871.23
15,445780
16,427928
17,894.708
18,29154.3
19,7674.34
20,202334
21,27238.3
22,156149
23,114796
24,460.601
25,104727
26,29097.4
27,7041.38
28,917668
29,101607
30,153901
31,155435
32,4.11139e+06
33,29409.9
34,250269
35,6737.72
36,6949.04
37,464898
38,689500
39,1.42188e+06
40,28513.4
41,10737
42,397018
43,608648
44,321117
45,19274.8
46,46412.8
47,1530.97
48,31261.1
49,4668.23
50,83227.7
51,5.65934e+06
52,2.06082e+06
53,87147.8
54,5566.19
55,25379.2
56,3507.4
57,18.3132
58,129076
59,46239.6
60,482124
61,46717.6
62,3589.65
63,865.242
64,7686.74
65,2285
66,303.516
67,637.309
68,1.64184e+06
69,532003
70,123647
71,51366.9
72,4299.29
73,5266.45
74,1.74268e+06
75,2.71101e+06
76,482676
77,65614.3
78,3252.6
79,594298
80,351907
81,59067.8
82,2.33745e+06
83,2.38476e+06
84,476324
85,438782
86,466011
87,567437
88,445780
89,1.17587e+06
90,134995
91,1.16937e+06
92,197861
93,81914.1
94,153202
95,2.19215e+06
96,1.27125e+06
97,181800
98,698300
99,840193
100,310191
101,430025
102,308532
103,263585
104,7.03673e+06
105,5.61831e+06
106,2.01603e+06
107,24921.7
108,250269
109,277553
110,317620
111,335939
112,366496
113,8.3919e+06
114,2.3386e+06
115,8.20898e+06
116,403127
117,309691
118,236631
119,431436
120,4.21458e+06
121,118016
122,1.51661e+06
123,423398
124,1.72141e+06
125,140183
126,1.75146e+06
127,33851.9
128,46412.8
129,131047
130,93588.5
131,3877.54
132,15875.4
133,126638
134,3.92953e+06
135,114019
136,3.26029e+06
137,8471.56
138,3463.15
139,425552
140,94987
141,1.58069e+06
142,416334
143,117612
144,3.17225e+06
145,26515.3
146,348679
