QueryID,duckdb_Estimate
1,15970
2,7575
3,20482
4,368673
5,732189
6,14389
7,34371
8,954
9,114913
10,15902
11,883
12,262105
13,56722
14,485
15,767
16,767
17,6013
18,1463
19,444
20,2425
21,2624
22,29930
23,129925
24,4813
25,250
26,841
27,1437
28,25984
29,1039
30,59284
31,2370
32,17058
33,18243
34,31201
35,6240
36,6240
37,229893
38,1153
39,1153
40,439
41,7
42,216293
43,2191
44,10954
45,277
46,197
47,7781
48,1445
49,569
50,2847
51,378
52,11274
53,333
54,56
55,122
56,3325
57,132
58,86
59,215
60,29720
61,49
62,330
63,33
64,2
65,50
66,36
67,0
68,193513
69,1075
70,645
71,645
72,86
73,645
74,162335
75,9018
76,541
77,2705
78,162334
79,360
80,3180
81,883
82,52421
83,262105
84,11344
85,56721
86,6908
87,13806
88,767
89,5124
90,5532
91,5532
92,12127
93,29932
94,29930
95,409878
96,1897
97,25874
98,25874
99,7187
100,24868
101,276
102,25984
103,59271
104,426468
105,118469
106,17059
107,520
108,31201
109,549
110,2748
111,4947
112,24737
113,103803
114,4152
115,20760
116,5767
117,720
118,320
119,438
120,10954
121,438
122,54776
123,54773
124,39073
125,1562
126,976856
127,114
128,197
129,824
130,55
131,2161
132,7781
133,168894
134,93
135,6997
136,47354
137,833
138,132
139,47
140,108
141,48984
142,43
143,163
144,32465
145,15
146,79
