QueryID,postgres_Estimate
1,79851
2,11443863
3,28234191
4,35320040
5,7471407
6,1510007
7,6442315
8,4206071
9,574442
10,3301807
11,7648292
12,244195686
13,9568582
14,34509
15,11489306
16,10864953
17,14040
18,35906
19,10885
20,278399
21,32095
22,197256
23,73373
24,267
25,59212
26,19713
27,8734519
28,11352010
29,731533
30,1592536
31,1376465
32,1391845680
33,5504361
34,124754507
35,2954392
36,3332131
37,1703007
38,2476687292
39,3430982395
40,327881
41,2782
42,490098
43,13495076
44,2655249
45,17033
46,25107
47,126151967
48,595465492
49,147869805
50,799225957
51,474124169303
52,44714511566
53,817573
54,25671
55,11458157
56,496641
57,2918
58,974519534
59,96599579
60,2508304
61,238226
62,7404
63,3644
64,34041
65,38434
66,3701
67,4511
68,20320913
69,6905000
70,488226
71,687776
72,58771
73,67552
74,7097080
75,10345744
76,3315008
77,207326
78,21086
79,3342559
80,23773321
81,2557943
82,246806333
83,251880436
84,9144128
85,8618937
86,1021670
87,15141050
88,10986238
89,49966059
90,5948136
91,48371776
92,274305
93,97751
94,246011
95,4051583
96,2442281
97,92390158
98,1501336274
99,1312249827
100,270932
101,448634
102,5523128
103,33717913
104,950376095
105,886480426
106,335547495
107,12613710
108,128131121
109,1261732
110,1355195
111,1504500
112,1628156
113,11006551510
114,3001754496
115,11506048413
116,553802307
117,386692
118,198961
119,225351801
120,2355227417
121,42202836
122,1196163194
123,172256639
124,22502869
125,2621663
126,20560267
127,18127
128,25073
129,41023
130,83320
131,12935207
132,33151097
133,2191358123
134,338561018432
135,11274740712
136,206218672297
137,4745
138,1002
139,2284560
140,422064
141,18962001
142,3365359
143,947142
144,32838348
145,11542
146,217426
