QueryID,dbx_Estimate
1,210.61
2,748.739
3,242.991
4,35349500.0
5,16740400.0
6,47618600.0
7,237209.0
8,91447.3
9,321226.0
10,3435250.0
11,1092930.0
12,2545300.0
13,56.8137
14,16349700.0
15,3595520.0
16,695932.0
17,675.987
18,3815540.0
19,3632370.0
20,330494.0
21,1073680.0
22,481322.0
23,1304.86
24,2703.46
25,7504.06
26,2809430.0
27,4343.44
28,70.754
29,15233.0
30,91136.9
31,108721.0
32,2209220.0
33,670284.0
34,2600990.0
35,2672.9
36,24944.4
37,103625.0
38,625.675
39,173013.0
40,967091.0
41,14154.5
42,24176.0
43,31530.6
44,34293.2
45,59914.4
46,73402.3
47,1172230.0
48,523424.0
49,1088500.0
50,77150.3
51,1883.15
52,163795.0
53,93138.7
54,9.68163
55,1.0
56,247483.0
