QueryID,dbx_Estimate
1,5.99486
2,5.55227
3,5.44646
4,242.991
5,4018.94
6,3940.73
7,424.1
8,6.0
9,53.9949
10,6.0
11,3978.05
12,420.736
13,4003.42
14,56.8137
15,51.7103
16,1.0
17,66.0
18,638.69
19,66.0
20,675.987
21,244.675
22,244.364
23,112.943
24,12.0
25,12.0
26,12.0
27,12.0
28,132.0
29,40.2835
30,6.0
31,116.144
32,50.2613
33,11.8355
34,6.0
35,120.246
36,56.1793
37,12.0
38,113.073
39,12.0
40,132.0
41,66.0
42,66.0
43,625.675
44,112.193
45,244.151
46,114.616
47,394.038
48,1194.35
49,411.677
50,12.0
51,105.655
52,112.329
53,1.0
54,114.616
55,66.0
56,591.561
57,733.089
58,12.0
59,12.0
60,2.92228
61,1.0
62,622.084
