QueryID,duckdb_Estimate
1,31056
2,6211
3,6211
4,3
5,186443
6,186443
7,186443
8,26924
9,26924
10,26924
11,53764
12,53764
13,53764
14,61065
15,305326
16,61065
17,305326
18,222435
19,222435
20,222435
21,80042
22,80042
23,80042
24,16008
25,16008
26,16008
27,16008
28,35218
29,1
30,9
31,40722
32,491
33,785
34,491
35,409
36,1702
37,2575
38,2575
39,2575
40,4
41,7486
42,1497
43,7486
44,1029
45,5147
46,1029
47,1
48,1
49,1
50,329
51,329
52,1413
53,1413
54,1413
55,10277
56,2055
57,0
58,329
59,329
60,282
61,282
62,2055
