QueryID,lpbound_Estimate
1,638587.6834390073
2,1854523.9999999956
3,475516.99999999977
4,2990669.9999999986
5,1854523.9999999956
6,475516.99999999977
7,2990669.9999999986
8,996170.9999999978
9,359172.9999999997
10,1333580.000000006
11,176839127.81885773
12,11598958.00000004
13,414298.00000000035
14,31437055.999999978
15,32189238.967113357
16,5994810.758248311
17,17097229.703958973
18,17002581.073109984
19,21255167.992277514
20,17260955.540317018
21,43656202.2279277
22,111623.37647205609
23,111623.37647205609
24,54574581.702672586
25,455684.9999999997
26,861696.4563278626
27,1854523.999999991
28,38009734.53805543
29,26370072.174781743
30,38009734.53805543
31,74875168.42416583
32,9080337.999999933
33,3872248.9999999865
34,21526750.99999998
35,10916415.955669448
36,21828901.139064044
37,24069645.26728926
38,111623.37647205609
39,111623.37647205664
40,111623.37647205609
41,24909737.416087415
42,24909737.416087415
43,281090507.8249244
44,1496125173.3358872
45,517128714.96023613
46,30080063.290768962
47,35897.00000000001
48,38009734.538055055
49,24909737.416087415
50,1280574.861826218
51,2165069.9393112063
52,176839127.81885818
