QueryID,lpbound_Estimate
1,7002.769811500979
2,563.5310033725218
3,264.00000000000017
4,32558085.57948101
5,7834057.989254524
6,71558364.53321631
7,1854523.9999999956
8,475516.99999999977
9,2990670.000000006
10,9409440.4809495
11,3894820.3239021017
12,11966270.786845451
13,66.00000000000004
14,32897370.00000005
15,11598958.00000004
16,1089114.0000000002
17,1056.0000000000007
18,26949320.912412785
19,20421546.59128656
20,11530178.198155738
21,11927101.722985117
22,5240132.885025286
23,2068.000000000002
24,111623.37647205609
25,111623.37647205609
26,9040891.999999987
27,455684.9999999997
28,19.999999999999993
29,846558.0000000026
30,2884658.000000009
31,1854523.999999991
32,5981340.000000027
33,26370072.174781743
34,5981340.000000027
35,2904.0
36,9080337.99999998
37,12249995.865369417
38,1056.0000000000007
39,6023989.86770012
40,21828901.139063988
41,82344.00000000013
42,4704822.933650254
43,3513314.564909093
44,4704822.933650265
45,24909737.416087415
46,24909737.41608735
47,46426004.875381134
48,167139777.7233774
49,517128714.96023613
50,26780962.81720218
51,520862.0579232069
52,1411668.0000000012
53,3709048.0
54,2323703.774324725
55,2045988.3388685307
56,153353589.45067468
