QueryID,postgres_Estimate
1,123583
2,46194251
3,17889159
4,79667735
5,1099845
6,425925
7,1896820
8,9620743
9,3725723
10,16592168
11,27383910
12,2531543
13,110115
14,12231967
15,12505300
16,1392500
17,2446329
18,1192722
19,2501008
20,3237817
21,20063388
22,6586
23,19321
24,13135091
25,204664
26,742510
27,3172874
28,47231899
29,16253693
30,60001838
31,4584488
32,1392492
33,1259238
34,7973480
35,2568470
36,11460681
37,20853126
38,194989
39,189140
40,396596
41,9160041
42,7412487
43,8235718
44,47186759
45,75484322
46,5729793
47,10697
48,18955554
49,13962754
50,965
51,1023
52,20086410
