QueryID,postgres_Estimate
1,113
2,2
3,244
4,32857831
5,17889159
6,56667335
7,782317
8,302959
9,935172
10,8217300
11,3725723
12,8217300
13,66
14,56011270
15,2531543
16,425190
17,693
18,6113842
19,8160042
20,253777
21,2860326
22,1582969
23,1386
24,4685
25,19321
26,1870344
27,117390
28,1
29,117390
30,1810968
31,3172874
32,47231899
33,11561148
34,60001838
35,2684
36,484243
37,2994292
38,693
39,850380
40,17960670
41,19278
42,194989
43,308448
44,282097
45,6515494
46,12088213
47,9574298
48,47186759
49,53691723
50,2493641
51,7608
52,178128
53,1870344
54,2573
55,500
56,8741725
