QueryID,postgresfull_Estimate
1,113
2,2
3,195902
4,32857831
5,17889159
6,56667335
7,782317
8,302959
9,1349200
10,15689411
11,3725723
12,27058338
13,1434
14,56011270
15,2531543
16,600313
17,8700547
18,6113842
19,8160042
20,253777
21,2907510
22,1582969
23,29190031
24,4685
25,19321
26,9342936
27,333765
28,1
29,1210878
30,3226166
31,3172874
32,47231899
33,11561148
34,60001838
35,7267249
36,484243
37,2994292
38,11600547
39,8567467
40,18689962
41,4436965
42,194989
43,308448
44,282097
45,6515494
46,12088213
47,9574298
48,47186759
49,53691723
50,2493641
51,7608
52,30912513
53,9931665
54,2573
55,500
56,8741725
