QueryID,postgresfull_Estimate
1,730
2,1
3,113
4,195902
5,32857831
6,12724483
7,129921326
8,1793616
9,302959
10,3093314
11,6843205
12,6075865
13,11801942
14,1434
15,136206
16,7
17,91342574
18,1800667
19,600313
20,8700547
21,19823179
22,7379203
23,315215
24,8160042
25,1945077
26,13634785
27,5280193
28,66924050
29,4685
30,31509
31,9342936
32,145577
33,1
34,1210878
35,1797642
36,2256855
37,77025270
38,11561148
39,97850382
40,7476336
41,2270862
42,6865013
43,11600547
44,3736850
45,60733015
46,14832734
47,317987
48,134535
49,646764
50,14938100
51,5272472
52,19583345
53,1772
54,68651509
55,123099061
56,8336219
57,7608
58,30912513
59,22770319
60,2296
61,727
62,29223507
