QueryID,safebound_Estimate,safebound_InferenceTime
1,974941.907724241,0.8360000000000001
2,164403982.0934313,1.6039999999999999
3,93018969.96504895,1.55
4,266926276.12585947,1.1900000000000002
5,1801372.0000000005,1.346
6,1801372.0000000005,1.351
7,2946979.000000001,1.251
8,27296236.53665362,1.802
9,16000011.490279704,1.89
10,38131120.708610125,1.5330000000000001
11,342479095.2019453,1.01
12,12108539.999999998,0.759
13,2217038.0000000005,1.237
14,33978132.0,0.636
15,36797048.23339826,0.721
16,15493951.939196926,0.6819999999999999
17,23367377.70058708,2.5660000000000003
18,21034021.099835124,2.813
19,41798029.04726142,1.674
20,41798029.04726142,1.6
21,107616107.37523298,0.882
22,166059.00000000003,1.4289999999999998
23,166059.00000000003,0.823
24,57244150.96884957,0.49200000000000005
25,3123332.000000002,4.715
26,5268660.000000002,3.363
27,13718088.000000002,2.585
28,1580938698.4906554,2.213
29,1196075741.1675713,4.285
30,1580938698.4906554,2.184
31,186186163.19429585,0.644
32,15880112.29970111,0.954
33,58993245.168975264,3.589
34,83574790.20576264,0.962
35,594614910.6680081,4.917999999999999
36,740432421.6921067,1.251
37,696549206.0442356,2.733
38,64810688.58733293,1.581
39,58084560.42414841,3.141
40,64810688.58733293,1.6039999999999999
41,381600667.0696744,3.0170000000000003
42,381600667.0696744,3.0500000000000003
43,136403942897.71864,3.535
44,155750203890.448,3.079
45,4445375668.348722,1.1720000000000002
46,3530465035.007259,3.1510000000000002
47,13488880.369760703,2.441
48,428588827.5695595,2.656
49,381600667.0696744,2.911
50,980891173.6829244,4.008
51,924815042.2181016,4.4510000000000005
52,4059641748.3415136,2.629
