QueryID,safebound_Estimate,safebound_InferenceTime
1,6406.0,1.899
2,840.0,1.438
3,974941.907724241,0.602
4,164403982.0934313,1.424
5,93018969.96504895,1.524
6,266926276.12585947,1.221
7,1801372.0000000005,1.3619999999999999
8,1801372.0000000005,1.323
9,2946979.000000001,1.2
10,27296236.53665362,1.7329999999999999
11,16000011.490279704,1.849
12,38131120.708610125,1.611
13,193589.3442721697,1.434
14,342479095.2019453,0.983
15,12108539.999999998,0.6920000000000001
16,2217038.0000000005,1.117
17,33978132.0,0.606
18,36797048.23339826,0.718
19,23367377.70058708,2.553
20,21034021.099835124,2.794
21,41798029.04726142,1.6689999999999998
22,41798029.04726142,1.596
23,107616107.37523298,0.882
24,166059.00000000003,1.292
25,166059.00000000003,0.791
26,57244150.96884957,0.49299999999999994
27,3123332.000000002,4.486000000000001
28,6580.0,0.809
29,5268660.000000002,3.312
30,19421688.878262784,2.2680000000000002
31,13718088.000000002,2.492
32,1580938698.4906554,2.248
33,1196075741.1675713,4.242
34,1580938698.4906554,2.408
35,186186163.19429585,0.6679999999999999
36,15880112.29970111,0.871
37,58993245.168975264,3.649
38,83574790.20576264,1.0230000000000001
39,594614910.6680081,4.989999999999999
40,740432421.6921067,1.2910000000000001
41,696549206.0442356,2.654
42,64810688.58733293,1.661
43,58084560.42414841,3.149
44,64810688.58733293,1.57
45,381600667.0696744,2.948
46,381600667.0696744,4.752
47,136403942897.71864,3.6470000000000002
48,155750203890.448,3.0709999999999997
49,4445375668.348722,1.1620000000000001
50,3530465035.007259,3.104
51,13488880.369760703,2.442
52,428588827.5695595,2.725
53,381600667.0696744,3.002
54,980891173.6829244,4.182
55,924815042.2181016,4.6690000000000005
56,4059641748.3415136,2.617
