QueryID,safebound_Estimate,safebound_InferenceTime
1,6406.0,0.985
2,720.0,2.0669999999999997
3,6406.0,1.578
4,974941.907724241,0.638
5,164403982.0934313,1.595
6,93018969.96504895,1.588
7,266926276.12585947,1.214
8,1801372.0000000005,1.426
9,1801372.0000000005,1.333
10,2946979.000000001,1.228
11,27296236.53665362,1.818
12,16000011.490279704,1.879
13,38131120.708610125,1.65
14,193589.3442721697,1.442
15,44367015.38117246,1.297
16,140632.07148650262,1.638
17,342479095.2019453,0.9890000000000001
18,12108539.999999998,0.69
19,2217038.0000000005,1.202
20,33978132.0,0.651
21,36797048.23339826,0.727
22,15493951.939196926,0.696
23,2503021.536120598,0.559
24,23367377.70058708,2.679
25,21034021.099835124,2.784
26,41798029.04726142,1.618
27,41798029.04726142,1.642
28,107616107.37523298,0.9380000000000001
29,166059.00000000003,1.323
30,166059.00000000003,0.824
31,57244150.96884957,0.502
32,3123332.000000002,4.6080000000000005
33,6580.0,0.823
34,5268660.000000002,3.343
35,9114382.243018042,2.7399999999999998
36,13718088.000000002,2.518
37,1580938698.4906554,2.2030000000000003
38,1196075741.1675713,4.2989999999999995
39,1580938698.4906554,2.249
40,186186163.19429585,0.651
41,15880112.29970111,0.907
42,58993245.168975264,3.636
43,83574790.20576264,0.966
44,594614910.6680081,4.926
45,740432421.6921067,1.2550000000000001
46,696549206.0442356,2.729
47,64810688.58733293,1.5939999999999999
48,58084560.42414841,3.315
49,64810688.58733293,1.635
50,381600667.0696744,3.027
51,381600667.0696744,3.061
52,136403942897.71864,3.853
53,6260743296.0,2.992
54,155750203890.448,3.137
55,4445375668.348722,1.242
56,3530465035.007259,3.1029999999999998
57,13488880.369760703,2.473
58,428588827.5695595,2.678
59,381600667.0696744,2.928
60,980891173.6829244,4.013
61,924815042.2181016,4.487
62,4059641748.3415136,2.52
