QueryID,truecardinality_Estimate
1,45
2,15
3,246
4,617487
5,282086
6,949841
7,71148
8,27402
9,105480
10,1245302
11,27122
12,1970254
13,30
14,1631070
15,533211
16,243521
17,587
18,1044797
19,3066456
20,42492
21,283129
22,129753
23,1030
24,86
25,91
26,213174
27,23354
28,8
29,65442
30,830421
31,66359
32,222018
33,291994
34,277655
35,2528
36,2542
37,6585
38,442
39,359222
40,1597616
41,3133
42,775
43,30747
44,1048
45,277423
46,2213269
47,454704
48,1964889
49,747749
50,1108
51,114
52,307526
53,79937
54,13677
55,12
56,66230
