QueryID,duckdb_Estimate
1,7495
2,16239
3,5
4,5
5,10
6,32479
7,5
8,5
9,773
10,23130
11,7
12,3769
13,50887
14,50887
15,50887
16,1713
17,23130
18,27757
19,23130
20,23130
21,473
22,1101
23,55
24,254440
25,27757
26,23130
27,273
28,2
29,317
30,88047
31,6670
32,163
33,6
34,146745
35,136
36,8004
37,6670
38,2
39,317
40,317
41,7
42,22
43,2
44,7
45,14674
46,5435
47,10870
48,317
49,8004
50,317
51,6670
52,6987
53,6670
54,22
55,88047
56,73372
57,6670
58,6670
59,0
60,6670
61,3078
62,3493
63,6670
64,88047
65,317
66,13340
67,102
68,151130
69,51
70,1079
71,51
72,23
73,2159
74,23
75,102
76,51
77,1079
78,1079
79,23
80,0
81,2159
82,102
83,1079
84,0
85,1295
86,2197
87,87
88,2
89,959
90,0
91,87
92,87
93,174
94,174
95,2197
96,20143
97,0
98,12
99,0
100,1
101,9668
102,6
103,87
104,3662
105,0
106,959
107,37
108,0
109,12
110,1831
111,6
112,2
113,4394
114,1831
115,0
116,1
117,2197
118,1
119,0
120,0
121,225
122,959
123,0
124,20143
125,0
126,4028
127,0
128,90
129,3662
130,0
131,1
132,1
133,2859
134,0
135,5662
136,30025
137,36030
138,943
139,514
140,428
141,4718
142,428
143,9436
144,428
145,449
146,4718
147,428
148,40
149,101
150,11324
151,857
152,330284
153,1887
154,857
155,1429
156,30025
157,0
158,330284
159,224
160,4718
161,0
162,2
163,5662
164,1230
165,514
166,30025
167,1
168,395
169,1
170,30025
171,30025
172,20
173,46468
174,13
175,26
176,1106
177,9680
178,165
179,276
180,138
181,9680
182,138
183,138
184,138
185,1106
186,11617
187,2
188,77447
189,138
190,0
191,11
192,2
193,13
194,331
195,138
196,165
197,19783
198,27
199,5
200,141
201,90673
