QueryID,duckdb_Estimate
1,0
2,91
3,2377
4,0
5,2972
6,58
7,1
8,4953
9,1238
10,1188
11,1
12,1486
13,1486
14,2476
15,4953
16,5
17,1486
18,6495
19,0
20,1499
21,3247
22,3247
23,0
24,3897
25,3897
26,3897
27,2
28,1
29,1
30,2
31,3247
32,0
33,6495
34,1
35,3247
36,3897
37,154
38,2674
39,106
40,37437
41,31197
42,0
43,3435
44,4294
45,204
46,4
47,1
48,254
49,1
50,4294
51,0
52,318
53,771
54,771
55,0
56,771
57,0
58,0
59,0
60,8996
61,771
62,771
63,2
64,30
65,1285
66,0
67,50887
68,4626
69,5551
70,753
71,220
72,220
73,12213
74,5551
75,4
76,342
77,61065
78,5551
79,5551
80,10
81,113
82,0
83,44487
84,802
85,8826
86,0
87,16851
88,18
89,802
90,18
91,20221
92,802
93,222435
94,57
95,20221
96,20221
97,16851
98,200
99,345
100,16851
101,20221
102,57
103,802
104,200
105,57
106,0
107,5
108,414
109,16851
110,200
111,16851
112,5
113,16851
114,0
115,17609
116,32
117,29349
118,27
119,1600
120,63
121,5435
122,1600
123,2173
124,63
125,1397
126,4
127,17609
128,1334
129,1
130,635
131,698
132,17609
133,2668
134,2668
135,6
136,0
137,9
138,3
139,82
140,98
141,98
142,493
143,2766
144,0
145,109
146,0
147,3
148,1383
149,98
150,6
151,1
152,82
153,65
154,658
155,0
156,285
157,0
158,4796
159,13
160,0
161,228
162,274
163,0
164,0
165,10
166,518
167,1295
168,3627
169,1295
170,0
171,259
172,10
173,215
174,431
175,0
176,20
177,259
178,439
179,0
180,0
181,34
182,439
183,2
184,0
185,0
186,1933
187,1
188,17
189,0
190,0
191,366
192,0
193,878
194,0
195,439
196,45
197,18
198,0
199,998
200,136
201,1270
202,0
203,0
204,0
205,39
206,17469
207,31
208,108
209,0
210,680
211,2
212,0
213,113
214,1497
215,16770
216,0
217,2
218,1524
219,1588
220,0
221,205
222,0
223,0
224,1132
225,188
226,102
227,943
228,1887
229,85
230,102
231,2264
232,171
233,0
234,66056
235,0
236,1132
237,49
238,102
239,1201
240,371
241,1
242,331
243,33
244,0
245,33
246,22
247,0
248,55
249,0
250,0
251,0
252,1
253,929
254,0
255,1
256,0
257,464
258,53
259,464
260,929
261,0
262,0
263,0
264,0
265,44
266,66
267,0
268,33
269,27
270,791
271,0
272,1
273,310
274,12
275,791
276,659
277,28
