QueryID,duckdb_Estimate
1,1
2,458
3,2377
4,6192
5,2972
6,294
7,5
8,24769
9,5944
10,6
11,6192
12,7430
13,2476
14,24769
15,26
16,7430
17,1
18,6495
19,37475
20,5
21,0
22,19487
23,19487
24,6495
25,19487
26,19487
27,5
28,16239
29,2
30,1
31,32479
32,25
33,16239
34,19487
35,3866
36,530
37,2228
38,3
39,2228
40,0
41,37437
42,31197
43,0
44,2674
45,3
46,2228
47,0
48,3435
49,21473
50,1022
51,23
52,1272
53,1
54,1272
55,5153
56,0
57,0
58,5
59,21473
60,0
61,17179
62,0
63,1590
64,5153
65,4
66,3855
67,3855
68,3855
69,0
70,0
71,12
72,306
73,44982
74,3855
75,3855
76,13
77,0
78,152
79,1285
80,0
81,50887
82,115654
83,27756
84,35
85,3769
86,0
87,23130
88,12213
89,27756
90,4
91,8565
92,61065
93,138784
94,27756
95,54
96,138784
97,115654
98,113
99,0
100,2
101,44487
102,4012
103,8826
104,0
105,84256
106,44134
107,90
108,4012
109,90
110,101106
111,101106
112,84256
113,4012
114,222435
115,57
116,101106
117,25
118,101106
119,84256
120,200
121,345
122,84256
123,101106
124,25
125,57
126,4012
127,200
128,4012
129,57
130,0
131,25
132,2071
133,84256
134,200
135,84256
136,25
137,25
138,84256
139,10
140,88046
141,4
142,819
143,29349
144,683
145,40021
146,1588
147,10
148,1588
149,36
150,27175
151,40021
152,2173
153,40021
154,1588
155,1397
156,33351
157,22
158,88046
159,73372
160,33351
161,36
162,3176
163,3493
164,33351
165,88046
166,13340
167,30
168,1
169,5762
170,9
171,164
172,151
173,15
174,411
175,493
176,493
177,2469
178,2766
179,0
180,1
181,109
182,0
183,19
184,0
185,6915
186,0
187,493
188,6
189,0
190,1
191,411
192,329
193,658
194,0
195,1
196,0
197,6
198,0
199,4796
200,67
201,0
202,228
203,0
204,1
205,1427
206,0
207,274
208,0
209,342
210,0
211,0
212,0
213,1295
214,257
215,5397
216,518
217,6477
218,1
219,18135
220,6477
221,1
222,1295
223,518
224,1079
225,431
226,0
227,1
228,102
229,5397
230,18135
231,6476
232,10987
233,435
234,2
235,14
236,2179
237,871
238,54935
239,0
240,2
241,0
242,1933
243,31
244,3662
245,0
246,14
247,9155
248,2
249,21974
250,0
251,54935
252,225
253,0
254,10987
255,54935
256,2
257,3662
258,450
259,14
260,0
261,680
262,0
263,2
264,0
265,0
266,195
267,17469
268,156
269,544
270,0
271,3403
272,11
273,0
274,567
275,1497
276,9528
277,16770
278,0
279,11
280,7623
281,7940
282,1
283,1029
284,0
285,0
286,5661
287,36030
288,943
289,2573
290,4718
291,36030
292,1887
293,2573
294,2264
295,0
296,330284
297,0
298,2573
299,102
300,2573
301,30025
302,9293
303,0
304,26
305,331
306,221
307,829
308,0
309,165
310,110
311,0
312,0
313,0
314,5
315,929
316,0
317,6
318,0
319,11617
320,691
321,2323
322,929
323,0
324,0
325,0
326,331
327,829
328,138
329,3956
330,7771
331,308
332,41215
333,19783
334,3297
335,3532
336,18134
337,282
338,0
339,16485
340,706
341,157
342,41215
343,7253
344,1962
345,49457
346,3532
347,518
348,3532
349,0
350,0
351,1295
352,24
353,3836
354,0
355,13079
356,13079
357,13079
358,5
359,5
360,2092
361,1712
362,0
363,186
364,4604
365,411
366,0
367,747
368,1
369,5755
370,1644
371,8719
372,0
373,0
374,223
375,29
376,8
377,11622
378,3587
379,115
380,0
381,59
382,2
383,14528
384,0
385,5327
386,11622
387,0
388,2324
389,4261
390,2905
391,1
392,0
393,2324
394,2324
395,39
396,1937
397,1065
398,2421
399,0
