QueryID,postgres_Estimate
1,841
2,46
3,11
4,34
5,22
6,167685
7,11
8,383
9,10
10,153926
11,131
12,25963
13,3803991
14,60766
15,361441
16,2173
17,151173
18,364165
19,352739
20,91542
21,9771
22,749
23,10807
24,1202046
25,255609
26,1432315
27,2044
28,5
29,2495
30,685070
31,124121
32,603
33,12
34,422463
35,2269
36,44088
37,190296
38,1
39,6246
40,19451
41,736
42,14
43,2
44,493
45,47510
46,1879
47,38830
48,249
49,720592
50,9703
51,107721
52,2282
53,12447
54,193
55,293451
56,710213
57,123407
58,148141
59,1
60,24171
61,151
62,31594
63,486472
64,630089
65,7
66,62899
67,5660
68,1030844
69,68160
70,1362672
71,3357
72,1400
73,9511
74,466
75,2304
76,11289
77,875040
78,300165
79,4086
80,66
81,62477
82,12469
83,239963
84,1
85,1314224
86,395
87,3
88,425
89,64277
90,431
91,54298
92,2
93,30387
94,2
95,1085020
96,1260628
97,45
98,4
99,45
100,2
101,1396
102,751
103,3
104,561
105,81
106,220655
107,1
108,1
109,7
110,7
111,7
112,2601
113,3954908
114,284
115,507
116,1
117,24789935
118,386
119,277
120,20302
121,46
122,4
123,1
124,236
125,613
126,425
127,8
128,96976
129,8315
130,1114
131,33
132,643
133,166797
134,33
135,2993445
136,1606251
137,2761469
138,177131
139,237091
140,54447
141,1908267
142,86719
143,22405410
144,42903
145,10056
146,43959
147,382982
148,57894
149,3912
150,5251446
151,263798
152,8970930
153,817943
154,1682385
155,23135
156,51557
157,117
158,6870953
159,16579
160,208009
161,9
162,14
163,29471
164,500477
165,368903
166,7036312
167,14
168,246
169,26
170,2993445
171,1641066
172,35
173,33994461
174,1200
175,226063
176,9973
177,3411776
178,501933
179,296057
180,4710
181,6472074
182,61607
183,24594
184,121626
185,196129
186,25461316
187,30
188,20420945
189,230430
190,13
191,89
192,3016
193,18438
194,10171791
195,3684
196,818235
197,444
198,7
199,16725
200,3945064
201,207333376
