QueryID,postgres_Estimate
1,35
2,6
3,48
4,122
5,12
6,6
7,245
8,4
9,24
10,108
11,122
12,6
13,126
14,4
15,4
16,122
17,6
18,15
19,122
20,1
21,1
22,5
23,6
24,23
25,12
26,6
27,1
28,4
29,1
30,18
31,126
32,60
33,2
34,31
35,5
36,6
37,73
38,47
39,1
40,63
41,187
42,41
43,6
44,4
45,1
46,9
47,122
48,16
49,116
50,63
51,5
52,1
53,1
54,24
55,6
56,6
57,6
58,1
59,63
60,4
61,4
62,1
63,122
64,1
65,1
66,6
67,122
68,63
69,1
70,1
71,65
72,2
73,8540
74,63
75,63
76,3
77,22
78,6
79,126
80,6
81,14
82,122
83,6
84,18
85,66
86,1
87,104
88,172
89,6
90,57
91,6
92,66
93,63
94,122
95,1342
96,63
97,122
98,1
99,6
100,7
101,66
102,63
103,396
104,5
105,122
106,11
107,63
108,63
109,122
110,6
111,6
112,63
113,25
114,1342
115,33
116,6
117,1
118,6
119,63
120,693
121,693
122,122
123,122
124,1
125,132
126,63
127,165
128,2
129,11
130,3
131,39
132,63
133,63
134,693
135,63
136,1
137,1
138,122
139,1
140,693
141,3
142,6
143,2684
144,122
145,63
146,6
147,6
148,63
149,122
150,11
151,6
152,2684
153,63
154,6
155,132
156,122
157,272
158,693
159,1342
160,63
161,122
162,2
163,66
164,122
165,1342
166,244
167,122
168,350
169,8540
170,976
171,244
172,259
173,214
174,122
175,6
176,6
177,122
178,8820
179,2
180,323
181,840
182,13
183,6
184,215
185,420
186,5
187,63
188,504
189,31
190,2
191,122
192,488
193,8
194,1
195,6
196,1680
197,380
198,61
199,269
200,63
201,2
202,12
203,34160
204,6
205,122
206,1
207,129
208,1
209,5
210,6
211,1
212,1
213,6
214,63
215,122
216,12
217,122
218,8540
219,766
220,6
221,8540
222,6
223,12
224,41
225,244
226,4856
227,6
228,12
229,122
230,420
231,6
232,6
233,6
234,617
235,31
236,6
237,126
238,6
239,2
240,14
241,12
242,132
243,341
244,244
245,122
246,31
247,15
248,66
249,12
250,132
251,122
252,45
253,1
254,6
255,122
256,1
257,101
258,126
259,6
260,76
261,63
262,24
263,207
264,19
265,61
266,420
267,48510
268,1680
269,24
270,1
271,63
272,24
273,264
274,122
275,66
276,420
277,18480
278,2
279,24
280,1680
281,8540
282,66
283,244
284,12
285,31
286,1342
287,4410
288,1342
289,122
290,1342
291,420
292,2684
293,6
294,1386
295,78
296,770
297,18
298,63
299,6
300,63
301,4410
302,1680
303,1
304,24
305,61
306,976
307,122
308,12
309,6
310,1
311,6
312,24
313,2829
314,6
315,1191
316,1
317,1
318,2429
319,420
320,122
321,1282
322,47
323,1753
324,122
325,8820
326,126
327,122
328,34
329,840
330,66
331,693
332,8540
333,17080
334,16156
335,122
336,9566
337,12
338,116
339,17080
340,6
341,322
342,8540
343,57150
344,420
345,4410
346,6
347,2684
348,6
349,122
350,14
351,57
352,132
353,375760
354,2
355,8540
356,4410
357,8540
358,5
359,24
360,1680
361,693
362,30416
363,10
364,18480
365,66
366,5
367,24
368,14
369,17023
370,264
371,8540
372,63
373,2
374,8540
375,24
376,341
377,252
378,4
379,2
380,693
381,1
382,1
383,63
384,2
385,889
386,24
387,6
388,24
389,1735
390,6
391,14
392,2
393,24
394,30
395,3816
396,488
397,296
398,2
399,1
