QueryID,postgresfull_Estimate
1,35
2,37
3,52746
4,9
5,52693
6,433
7,546
8,17911
9,10169
10,3613
11,108
12,16866
13,1836
14,25375
15,12138
16,4
17,76949
18,15
19,819
20,818
21,45
22,32
23,1
24,5
25,20
26,12
27,1
28,33
29,1
30,1
31,4
32,18
33,73139
34,168
35,2
36,31
37,10
38,372
39,380
40,187
41,41
42,6
43,7
44,118
45,692
46,5
47,1
48,1372
49,1
50,73309
51,1
52,2487
53,3395
54,165076
55,1
56,51365
57,1
58,1
59,1
60,684125
61,3941
62,4722
63,3
64,383
65,142275
66,10
67,4
68,149622
69,12
70,12693
71,1
72,2
73,397
74,30
75,57
76,1329
77,120
78,178040
79,101
80,21488
81,1
82,2
83,447645
84,201
85,1793
86,5
87,2531286
88,22769
89,925
90,3045
91,84010
92,224
93,956294
94,72
95,1476038
96,692081
97,378610
98,7902
99,7902
100,1237547
101,533099
102,91
103,37410
104,244
105,4
106,2
107,144
108,2630
109,58203
110,16163
111,1237546
112,2
113,843762
114,2
115,89381
116,603
117,410648
118,2206
119,19229
120,19451
121,6281
122,218385
123,77185
124,6915
125,7630
126,301
127,427873
128,401009
129,85
130,1357
131,31594
132,2106381
133,204384
134,3986
135,126
136,782
137,5492
138,214
139,20865
140,1431
141,1227
142,107166
143,380768
144,3
145,7119
146,29
147,871
148,1143294
149,49323
150,1435
151,2
152,13797
153,25589
154,11106
155,8005
156,630360
157,61
158,117
159,5500
160,1
161,12
162,129
163,1
164,6
165,68160
166,720
167,1036
168,1755
169,205
170,38429
171,7
172,11289
173,41
174,540
175,4856
176,5439
177,1314224
178,281
179,1420
180,857
181,30387
182,1582069
183,14
184,151
185,5
186,607
187,1192
188,3
189,79
190,253
191,7
192,2323
193,1724998
194,1037
195,5286253
196,10
197,96976
198,23
199,4087
200,33306
201,5477705
202,21
203,19
204,61
205,124326
206,19230457
207,109622
208,6356196
209,2
210,1792675
211,14999
212,215
213,50727
214,19283
215,7070340
216,1
217,8874
218,3250675
219,1837335
220,279
221,531209
222,1444
223,33
224,5256122
225,172176
226,792593
227,3031626
228,21778795
229,372271
230,631650
231,5251446
232,2672771
233,232
234,3359209
235,9
236,8816
237,237844
238,368903
239,15980999
240,33994461
241,226063
242,61
243,501933
244,12
245,50
246,1
247,341
248,287777
249,34
250,17388
251,1233
252,12
253,1191
254,1
255,1
256,2429
257,25461316
258,91
259,1282
260,109
261,13
262,1753
263,135
264,30057
265,312
266,10171791
267,1
268,795352
269,34
270,444
271,35
272,14
273,18494764
274,347041
275,132023966
276,16156
277,3519546
