QueryID,postgresfull_Estimate
1,35
2,37
3,52746
4,13431
5,52693
6,433
7,245
8,17911
9,3613
10,108
11,24192
12,38670
13,11387
14,12138
15,4
16,76949
17,819
18,15
19,818
20,1
21,1
22,5
23,20
24,23
25,12
26,6
27,1
28,4
29,1
30,18
31,73139
32,168
33,2
34,31
35,10
36,872
37,73
38,47
39,1
40,333
41,187
42,41
43,6
44,4
45,1
46,9
47,710
48,16
49,118
50,692
51,5
52,1
53,1
54,1372
55,15
56,6
57,371
58,1
59,73309
60,4
61,9
62,1
63,2487
64,1
65,1
66,3395
67,165076
68,51365
69,1
70,1
71,65
72,1053
73,684125
74,3941
75,2059
76,3
77,22
78,879
79,63841
80,10
81,14
82,306039
83,93
84,58
85,25963
86,1
87,104
88,172
89,62
90,57
91,4444
92,402
93,158836
94,222
95,21488
96,372702
97,2847734
98,1
99,9
100,7
101,447645
102,412
103,774
104,5
105,2531286
106,37058
107,10216
108,1893
109,6228
110,69912
111,280844
112,151825
113,97
114,1901314
115,72
116,1476038
117,2
118,1415588
119,378610
120,16163
121,16163
122,2531288
123,533099
124,5
125,186
126,16316
127,244
128,2
129,14
130,3
131,62
132,5378
133,58203
134,16163
135,1135829
136,2
137,2
138,843762
139,5
140,298801
141,3
142,1234
143,1372794
144,2206
145,64284
146,6246
147,13
148,8482
149,480
150,6281
151,218385
152,77185
153,314299
154,32436
155,7630
156,326600
157,272
158,427873
159,1412060
160,179939
161,189
162,1357
163,31594
164,967202
165,2047467
166,3986
167,126
168,350
169,772100
170,5492
171,358176
172,259
173,214
174,20865
175,3279
176,1227
177,238827
178,380768
179,2
180,323
181,16318
182,13
183,1997
184,215
185,2621230
186,5
187,49323
188,1435
189,31
190,2
191,13797
192,25589
193,11106
194,1
195,6
196,18352
197,380
198,61
199,269
200,5500
201,2
202,12
203,51959
204,6
205,82074
206,1
207,129
208,1
209,5
210,6
211,1
212,1
213,49
214,29730
215,1324560
216,720
217,1036
218,99050
219,766
220,211
221,38429
222,7
223,232
224,41
225,540
226,4856
227,66
228,12469
229,233251
230,1755
231,1314224
232,1320
233,9
234,617
235,857
236,181517
237,44293
238,3627212
239,2
240,14
241,151
242,1396
243,2438
244,546
245,161
246,253
247,15
248,5321
249,13221222
250,1037
251,24096636
252,45
253,1
254,359
255,1046
256,2
257,101
258,86514
259,1114
260,76
261,29714
262,777
263,207
264,19
265,61
266,124326
267,19230457
268,109622
269,6356196
270,5
271,1792675
272,14999
273,488
274,50727
275,64464
276,2162051
277,23636081
278,2
279,18151
280,24914788
281,6142195
282,2151
283,1775828
284,1485
285,111
286,17079762
287,4026502
288,352170
289,770426
290,6200913
291,9275100
292,44546523
293,631650
294,2290495
295,104
296,6870953
297,18
298,120083
299,4565
300,160904
301,15980999
302,33994461
303,1
304,226063
305,61
306,9693
307,487896
308,12
309,50
310,1
311,781
312,34
313,2829
314,6
315,1191
316,1
317,1
318,2429
319,25461316
320,223985
321,1282
322,47
323,1753
324,132
325,30057
326,4436599
327,795352
328,34
329,909
330,38917737
331,506019
332,53885097
333,601812719
334,16156
335,7843602
336,9566
337,1844
338,14946
339,74420472
340,171
341,322
342,131663629
343,57150
344,8691654
345,84241641
346,2232778
347,4489
348,75415
349,220
350,14
351,57
352,559
353,196698276
354,2
355,23322
356,10243029
357,121053532
358,5
359,25
360,25998
361,2256262
362,30416
363,10
364,62901
365,7902
366,5
367,2996272
368,14
369,17023
370,1377899
371,22094
372,925
373,2
374,560058
375,60447
376,932
377,3322752
378,21233
379,2
380,3370
381,1
382,1
383,459750
384,2
385,889
386,9418049
387,4136
388,50
389,1735
390,121
391,14
392,2
393,395
394,30
395,3816
396,942
397,296
398,2
399,1
