QueryID,safebound_Estimate,safebound_InferenceTime
1,1064874.17158164,3.715
2,178850.48673880362,3.9189999999999996
3,110868.5555555558,3.2680000000000002
4,39168.0,1.9829999999999999
5,39168.0,1.869
6,3505293.682045224,4.588
7,126737.77248677248,2.9619999999999997
8,191028.6075327326,2.336
9,1105679.241515014,3.93
10,24623691.41553941,2.004
11,1257808.3353134654,1.853
12,23382661.006674174,2.592
13,52288544.50386223,2.9229999999999996
14,49886606.48459537,3.1719999999999997
15,78184661.50835156,3.2560000000000002
16,4564495.895809553,3.673
17,19161616.63606595,2.592
18,81576969.78872663,2.6809999999999996
19,36022587.651859455,3.413
20,30362928.99338413,3.713
21,22026627.987303108,2.524
22,6911479.643667181,4.322
23,743092.8837116366,3.648
24,246881030.77849343,2.7430000000000003
25,55880584.55042265,1.406
26,173248853.50477794,2.509
27,720906.2743622338,2.857
28,105662.96048324351,4.762
29,362939.51254185056,3.009
30,37674085.01057498,2.062
31,4788935.549563254,3.454
32,1841596.7442755136,3.682
33,1365290.0845780591,3.443
34,29880655.113155875,3.5170000000000003
35,2052923.312967734,3.128
36,14446863.235389773,3.222
37,24987573.572128933,2.928
38,152775.00942270158,3.9389999999999996
39,10171190.0,2.77
40,3237275.035187703,2.155
41,942069.123001159,4.601
42,163709.3762110668,2.311
43,295716.2198555947,4.084
44,277625.0102637769,3.901
45,42603187.48589937,3.497
46,3439202.9999999977,3.9170000000000003
47,20254273.96624397,2.813
48,94046.09525129032,4.37
49,35537156.0,1.906
50,6321366.000000001,2.412
51,9027160.94524966,3.721
52,10188361.285203824,3.098
53,10207903.900970796,3.904
54,39234.68336241593,2.2169999999999996
55,32643238.05434146,2.968
56,60537166.71998014,3.1519999999999997
57,3896595.055322247,3.7439999999999998
58,17328250.03409476,4.205
59,10752.0,3.3579999999999997
60,9284097.308129627,3.855
61,1484056.101551283,4.172000000000001
62,5879879.333783343,3.545
63,44025076.99999999,2.781
64,9417249.992548011,3.575
65,338981.99999999994,4.116
66,10070300.900970798,2.5300000000000002
67,21961736.56802013,4.348999999999999
68,1501565097.8145094,5.609
69,104592117.33849972,3.948
70,333927582.58570623,3.9160000000000004
71,43433240.76442168,5.254
72,47745792.0,2.624
73,88353744.46575849,2.6470000000000002
74,74053725.44444445,3.706
75,81551826.7955626,4.321000000000001
76,26032544.299735453,2.731
77,365532789.6669607,5.085
78,408503654.4770453,4.426
79,95498684.82939866,3.883
80,17568380.68302519,2.521
81,766083289.3844966,5.794
82,355986883.0000001,2.973
83,271244211.5892073,4.961
84,3407616.0,2.471
85,1049579546.101859,3.0109999999999997
86,9119907.999999998,2.004
87,5834516.736744844,2.8440000000000003
88,44840830.3251285,2.3040000000000003
89,1100106899.0134358,3.691
90,36974592.00000001,2.79
91,35241839.343258135,2.83
92,5099773.793955552,5.517
93,571707600.0689576,3.738
94,4532439.02076667,4.3229999999999995
95,1906635229.6162925,1.9919999999999998
96,358676171.0000001,2.559
97,59941052.595835,4.9350000000000005
98,2101606.145998299,2.144
99,8685528.04567051,2.907
100,1736926.6539354413,1.9269999999999998
101,4713390.372022264,3.247
102,116612591.02414688,3.282
103,1817246.351884263,4.193
104,7277429.841522135,2.455
105,16372119.999999998,2.807
106,43833225.50773279,3.3400000000000003
107,339999.6798597451,4.721
108,2054036.1786104909,5.059
109,1835175.3392939065,2.456
110,7563377.935734,4.404
111,1835175.3392939065,3.529
112,67971375.54231459,1.751
113,2360469685.372148,2.572
114,3727164.596647777,2.794
115,5189987.142352484,2.783
116,1125535.1870695285,2.2889999999999997
117,1492853593.4400964,1.565
118,59579822.73913044,3.352
119,96884220.12397124,3.877
120,53496052.00000001,3.464
121,769726.0,1.211
122,3168287.392411107,3.869
123,2418949.9999999995,3.872
124,22103770.0,2.8930000000000002
125,17752138.0,3.9230000000000005
126,13757703.0192469,3.356
127,22194263.289940827,4.159999999999999
128,486389277.9600401,2.278
129,170628134.4469788,5.723
130,68120422.3762897,3.369
131,22819059.28759555,4.685
132,108692828.25847924,4.104
133,478655490.6485061,3.796
134,101338155.5966866,3.213
135,796593235.8657582,2.148
136,4141558180.593311,4.543
137,3705115388.909341,2.859
138,320358270.8353178,3.251
139,454906646.2637499,2.7920000000000003
140,512877700.70453113,5.45
141,644324497.1912217,3.7279999999999998
142,161231953.65594363,5.263
143,614351993.1699803,3.9490000000000003
144,728518460.1678005,4.485
145,151073470.12152565,4.126
146,1201675081.0889444,4.817
147,1630797770.0000002,4.226
148,500588776.0,5.09
149,202694184.0,2.369
150,1335602895.3678868,2.352
151,195639343.99915704,4.513999999999999
152,12016402428.303616,3.559
153,246301088.9557077,3.9389999999999996
154,320043550.4515702,2.654
155,948629114.8247596,5.62
156,226138174.81530845,5.428999999999999
157,16858579.880004335,3.043
158,694082462.6989042,5.547
159,149724013.7345783,4.161
160,340426208.5482444,6.77
161,3259872.0,2.335
162,19291476.83952328,2.799
163,122357601.74592856,2.621
164,963779807.6379914,2.386
165,576738404.2967113,3.519
166,4159090044.864193,5.0600000000000005
167,54719707.75627872,4.1450000000000005
168,22803929.52767848,6.208
169,18271662.32037485,4.425
170,300897837.6581213,2.4520000000000004
171,6601534631.884465,3.447
172,16228183.627032692,4.753
173,42137174486.58368,2.81
174,138845544.62919244,5.151
175,1112218218.814321,3.189
176,226826511.46266115,3.9379999999999997
177,10305389981.699446,4.866
178,1474976119.4633288,3.3890000000000002
179,1126742662.355295,2.77
180,59025077.0,4.983
181,10381626023.00298,3.6470000000000002
182,1391626322.9735231,5.739
183,148093134.46368337,3.0730000000000004
184,632332521.5924584,5.044
185,4998226457.277836,4.263
186,5429402296.773599,1.714
187,41318823.05307432,5.623
188,45068762041.69003,3.7369999999999997
189,1143731189.2752254,3.2
190,17995751.628386922,4.577
191,50047590.64657287,4.5409999999999995
192,62269038.21680402,5.594
193,88948315.41718177,4.537
194,1973853359.3645463,1.871
195,369255671.1040677,6.736
196,1430778518.4505572,2.1159999999999997
197,1859777502.334638,6.352
198,1521795154.09172,4.372
199,69444730733.84215,4.3629999999999995
200,181162732884.4269,3.056
201,1856894249012.8823,5.168
