QueryID,safebound_Estimate,safebound_InferenceTime
1,2003.3727556195283,2.797
2,108379.67019902932,2.877
3,1350089.6283400806,1.39
4,293.0,1.08
5,228506.3171955291,1.692
6,1861.576859230168,2.0140000000000002
7,103155.00000000004,2.6940000000000004
8,1414564.4056128082,2.222
9,605372.5063933377,2.2880000000000003
10,413436.5974994591,1.3519999999999999
11,44310.99999999999,3.209
12,1300179.9999999998,1.518
13,108728.76815092652,1.984
14,150552.38854147325,2.3930000000000002
15,1320130.8421052634,2.832
16,96535.55903744652,3.281
17,216662.11064201003,1.711
18,30433.388888888898,2.2439999999999998
19,175776.0,1.278
20,1064874.17158164,3.1830000000000003
21,178850.48673880362,3.467
22,54046.0,1.903
23,63203.5513808184,2.696
24,29290.1,2.864
25,42514.000000000015,1.6520000000000001
26,48797.96747640498,1.736
27,4909.000000000001,2.373
28,39168.0,1.756
29,2923.025288888889,2.544
30,2637.0,1.9559999999999997
31,37060.0,2.562
32,117841.00000000004,1.71
33,3505293.682045224,4.318
34,191028.6075327326,2.234
35,23162.000000000007,2.545
36,54260.9806763285,1.487
37,1105679.241515014,3.72
38,1475059.6204966495,1.909
39,10057038.000000004,2.8649999999999998
40,79019.19714994972,1.358
41,30469.016311810235,2.748
42,132875.99999999997,2.597
43,1031.5058833333337,3.255
44,182992.0000000001,2.634
45,72796.99999999999,1.903
46,9171.999999999996,2.89
47,1359.9999999999998,2.14
48,269322.48790909763,3.761
49,850.0,1.461
50,645461.0000000001,1.761
51,1514.3444890452863,3.25
52,91604.0,2.447
53,2368587.0000000014,3.016
54,6788436.055699999,1.486
55,42247.00000000001,3.072
56,5972124.999999999,1.686
57,13836.208725084618,3.6670000000000003
58,82179.91290824262,2.426
59,15246.688604738623,2.251
60,69725704.78014466,2.599
61,1883837.000000001,1.929
62,1658201.20609016,2.9619999999999997
63,109956.0,1.853
64,3720121.32207371,3.234
65,2010373.279203899,2.938
66,126953.79380321957,1.8699999999999999
67,416798.0,2.0860000000000003
68,24623691.41553941,1.9020000000000001
69,25258.2269082814,1.845
70,23382661.006674174,2.382
71,36084.63669252812,3.6719999999999997
72,31872.810777777788,1.939
73,96392.90896775466,0.648
74,135042.76190560253,2.269
75,492852.9536980683,3.245
76,4564495.895809553,3.3249999999999997
77,100900.86176727909,2.2560000000000002
78,81576969.78872663,2.532
79,215933.0,1.445
80,743092.8837116366,3.4949999999999997
81,22541.89959489605,2.3890000000000002
82,173024.0,3.153
83,3223909.137465533,1.839
84,181872.8887754244,2.627
85,255786.72988700063,2.485
86,137.0,1.321
87,12670687.999999998,2.0010000000000003
88,1086809.0,1.767
89,487796.81486268446,3.454
90,82576.0,2.816
91,4008064.818650007,2.057
92,379551.0,2.177
93,2323820.0,1.57
94,3212.6318713702685,2.588
95,7451973.000000003,1.363
96,12670688.0,1.377
97,12670688.0,1.897
98,293173.0,1.608
99,460613.3559366772,1.444
100,1513034.000000001,2.0140000000000002
101,2728942.9999999995,1.09
102,3212.631871370269,1.377
103,2478571.9999999995,1.66
104,220725.0,2.047
105,3212.631871370269,1.782
106,3212.63187137027,1.161
107,3212.631871370269,0.882
108,182222.0,1.309
109,9989072.30733396,2.9859999999999998
110,10415.000000000002,1.591
111,12670688.0,1.452
112,8189.000000000004,3.052
113,9650267.666139232,2.588
114,105662.96048324351,4.445
115,37674085.01057498,1.9369999999999998
116,1841596.7442755136,3.4659999999999997
117,29880655.113155875,3.571
118,2052923.312967734,3.022
119,14446863.235389773,3.184
120,3237275.035187703,2.1359999999999997
121,3439202.9999999977,3.3449999999999998
122,6000202.594157896,4.01
123,20254273.96624397,2.648
124,6321366.000000001,2.15
125,10188361.285203824,2.678
126,39234.68336241593,1.812
127,32643238.05434146,2.763
128,3896595.055322247,3.3
129,508421.9079802444,3.757
130,3779828.055085093,3.271
131,5879879.333783343,3.202
132,9417249.992548011,3.455
133,10070300.900970798,2.442
134,675270.4342784857,2.718
135,542014.0000000001,3.706
136,174019.09710543384,2.9520000000000004
137,11052850.26676089,3.458
138,1682005.6077919183,3.693
139,4875885.0,2.887
140,1065960.7145000005,2.9589999999999996
141,891829.4929972364,4.3
142,6788373.999999999,1.407
143,25735224.937186483,2.964
144,202048.69095478265,2.868
145,4340000.872950779,2.857
146,68955.59570507852,3.025
147,670827.6992393057,3.539
148,45625380.950156026,1.4289999999999998
149,5362926.0,1.7830000000000001
150,8892144.000000002,3.0109999999999997
151,25791.206512904708,3.75
152,4875885.0,3.146
153,3392455.999999999,2.44
154,8953232.986472182,7.599
155,9735368.760294784,1.673
156,29674781.84125424,2.382
157,618900.0000000002,4.039
158,1001547.053233054,1.574
159,3967571.780453436,2.431
160,419941.7307467968,3.9639999999999995
161,608628.0000000001,2.274
162,384268.0,1.5939999999999999
