QueryID,safebound_Estimate,safebound_InferenceTime
1,2003.3727556195283,3.291
2,108379.67019902932,3.021
3,1350089.6283400806,1.4220000000000002
4,1197269.6652050838,2.3249999999999997
5,228506.3171955291,1.709
6,1861.576859230168,2.176
7,103155.00000000004,2.82
8,1414564.4056128082,2.22
9,413436.5974994591,1.4729999999999999
10,44310.99999999999,3.19
11,1274246.0,2.162
12,1300179.9999999998,1.4189999999999998
13,150552.38854147325,2.464
14,1320130.8421052634,2.872
15,96535.55903744652,3.337
16,216662.11064201003,1.724
17,175776.0,1.346
18,21907.942566661743,2.278
19,1064874.17158164,3.243
20,3179.3333333333326,1.735
21,63203.5513808184,2.762
22,29290.1,2.921
23,42514.000000000015,1.677
24,59760.80851063829,1.722
25,48797.96747640498,1.6869999999999998
26,12783.861688936182,2.488
27,2923.025288888889,2.617
28,37060.0,2.595
29,46831.61158144919,4.515
30,117841.00000000004,1.6199999999999999
31,3505293.682045224,4.347
32,191028.6075327326,2.271
33,23162.000000000007,2.499
34,54260.9806763285,1.479
35,1105679.241515014,3.75
36,10057038.000000004,2.852
37,151072.0,2.019
38,659321.2928171245,2.6029999999999998
39,112794.0,2.994
40,164843.99999999988,1.6340000000000001
41,79019.19714994972,1.3699999999999999
42,30469.016311810235,2.76
43,132875.99999999997,2.536
44,96103.0,1.374
45,30464.0,1.9629999999999999
46,196846.0,2.117
47,166840.0,1.9719999999999998
48,1031.5058833333337,3.692
49,182992.0000000001,2.9099999999999997
50,72796.99999999999,2.143
51,9171.999999999996,3.165
52,1467.0000000000002,5.032
53,1359.9999999999998,2.5170000000000003
54,269322.48790909763,4.18
55,339.99999999999994,0.953
56,5733.0,1.466
57,10799.000000000004,1.729
58,701.8958411467386,4.007000000000001
59,645461.0000000001,2.16
60,14116.0194,2.104
61,1061.151283333333,2.499
62,1514.3444890452863,3.879
63,91604.0,2.458
64,341.4716632154089,2.291
65,342.7021944444444,3.0149999999999997
66,2368587.0000000014,3.381
67,6788436.055699999,1.588
68,5972124.999999999,1.875
69,13836.208725084618,4.026
70,15246.688604738623,2.343
71,152630.30467532275,3.266
72,1042742.436184758,3.78
