QueryID,truecardinality_Estimate
1,75193
2,10210
3,13547
4,4132
5,1951
6,312641
7,3748
8,27738
9,1516
10,326666
11,1974
12,552456
13,14885746
14,495199
15,4483593
16,51089
17,16
18,8348080
19,1414449
20,606673
21,448682
22,1754
23,31749
24,9047731
25,487928
26,29631485
27,1021
28,66
29,8968
30,4462477
31,70865
32,5280
33,2658
34,86248
35,6678
36,89085
37,2052634
38,40
39,395021
40,158171
41,3270
42,305
43,676
44,861
45,77415
46,2205
47,1148931
48,138
49,1995721
50,103328
51,59962
52,9139
53,77357
54,99
55,193436
56,4566047
57,1
58,240770
59,12
60,45602
61,1382
62,46922
63,5936236
64,79099
65,120
66,180456
67,738795
68,1115355
69,313003
70,3561915
71,238894
72,5902
73,1911348
74,1966
75,72212
76,45627
77,1069710
78,9710805
79,29093
80,4970
81,1419822
82,701382
83,2209381
84,5236
85,1407826
86,13550
87,2555
88,113483
89,36792918
90,22043
91,645868
92,756
93,5956025
94,3450
95,459
96,6574684
97,97812
98,1664
99,9387
100,840
101,38625
102,105656
103,256
104,4644
105,54775
106,982830
107,64
108,5654
109,1500
110,2270
111,504
112,609719
113,125732958
114,14418
115,7345
116,48
117,83734001
118,188320
119,559726
120,2122891
121,5184
122,2479
123,57
124,22366
125,64022
126,156062
127,346920
128,1550196
129,26241829
130,141036
131,1089
132,3994
133,237747
134,1238
135,656090
136,321824
137,36
138,1118348
139,268215
140,148929
141,1563766
142,16755
143,2315885
144,1252492
145,49458
146,206816
147,433128
148,453855
149,364
150,17968509
151,199807
152,4717919
153,3998548
154,1037159
155,136914
156,29221
157,1529
158,517920
159,269348
160,107476
161,17
162,2394
163,1078226
164,145385
165,3272985
166,1276374
167,1150
168,25573
169,3803
170,11
171,117
172,16258
173,3268121
174,201169
175,790742
176,1077927
177,6986846
178,3001648
179,7376177
180,20370
181,3932561
182,5029464
183,5871070
184,299381
185,5478399
186,2140800
187,6048
188,10912376
189,7458863
190,7907
191,3312
192,10887
193,894404
194,14418233
195,446423
196,6541388
197,170
198,1056
199,484319
200,92160069
201,260269623
