QueryID,truecardinality_Estimate
1,354
2,347
3,6
4,29
5,3341
6,137
7,5217
8,864
9,53430
10,12393
11,3105
12,2629
13,4926
14,128
15,807
16,546
17,4795
18,1062
19,2853
20,75840
21,11528
22,3593
23,137
24,65
25,1272
26,943
27,2
28,4139
29,30
30,2
31,213
32,180
33,78932
34,1017
35,79
36,764
37,1516
38,3778
39,105
40,13
41,72
42,54
43,3
44,17264
45,2068
46,302
47,3
48,6204
49,3
50,95735
51,3
52,44963
53,2069
54,137206
55,26
56,610
57,1
58,2
59,2
60,2021123
61,7
62,2876
63,18
64,540
65,135
66,70
67,264
68,334218
69,7
70,511237
71,4
72,76
73,13
74,2233
75,198
76,30576
77,46
78,7273895
79,291
80,39772
81,5
82,99
83,3
84,351
85,938
86,1
87,1195752
88,169143
89,1422
90,5035
91,2
92,489
93,10554
94,5
95,902274
96,188967
97,486238
98,82605
99,85153
100,53696
101,148721
102,13
103,218144
104,154
105,24
106,5
107,54
108,15904
109,79009
110,201
111,688423
112,4
113,337887
114,63
115,59577
116,5280
117,7697
118,8681
119,24797
120,158845
121,1049
122,12010
123,2164413
124,50055
125,5107
126,131
127,393903
128,146056
129,525
130,693
131,4395
132,529945
133,905443
134,23231
135,640
136,564
137,18198
138,84
139,46176
140,12
141,1587
142,3051
143,1274
144,4
145,485
146,52
147,142
148,15737
149,2893
150,117
151,2
152,44208
153,122313
154,6
155,633
156,763026
157,234
158,35
159,1948
160,12
161,175
162,3
163,3
164,39
165,317323
166,450
167,4688
168,91659
169,383
170,186116
171,2
172,45627
173,366
174,103
175,42761
176,7016
177,1421979
178,28
179,24298
180,29501
181,525998
182,1677287
183,286
184,20946
185,90
186,84
187,88327
188,256
189,55579
190,82375
191,2270
192,26782
193,1024079
194,1295
195,3185861
196,13
197,188364
198,114
199,90358
200,56254
201,8749371
202,546
203,3
204,96
205,368921
206,8356
207,346483
208,1747521
209,30
210,148409
211,24525
212,864
213,82011
214,30
215,7848
216,33
217,15818
218,58773
219,320
220,66
221,117
222,723
223,1238
224,756942
225,1180227
226,1840433
227,4500032
228,1361905
229,1680600
230,861413
231,2420366
232,4493988
233,439
234,3539739
235,289
236,94751
237,3222903
238,3295640
239,1424480
240,304824700
241,2433420
242,3620
243,3071912
244,264
245,24
246,85
247,431
248,10676313
249,1742
250,479718
251,14643
252,597
253,78
254,22
255,20
256,240331
257,46963273
258,1117
259,80
260,148
261,7918
262,1414
263,3990
264,317
265,42
266,14961606
267,34
268,10202121
269,99
270,3910
271,1081
272,136896
273,535219169
274,28808846
275,97982542
276,680215
277,985850
