QueryID,truecardinality_Estimate
1,58
2,1
3,6
4,123
5,2
6,1
7,102
8,3
9,3
10,65
11,124
12,6
13,80
14,3
15,3
16,66
17,6
18,28
19,93
20,1
21,1
22,1
23,5
24,112
25,56
26,1
27,1
28,8
29,2
30,12
31,87
32,10
33,18
34,83
35,3
36,4
37,94
38,27
39,47
40,9
41,13
42,72
43,54
44,1
45,1
46,74
47,80
48,3
49,52
50,16
51,18
52,3
53,3
54,3
55,2
56,15
57,6
58,3
59,42
60,4
61,3
62,3
63,65
64,4
65,1
66,3
67,123
68,24
69,1
70,1
71,2
72,2
73,6769
74,2
75,10
76,30
77,42
78,6
79,87
80,3
81,82
82,54
83,5
84,6
85,3
86,1
87,49
88,1
89,5
90,198
91,1
92,11
93,42
94,75
95,189
96,44
97,125
98,5
99,2
100,13
101,3
102,13
103,76
104,1
105,72
106,11
107,64
108,45
109,65
110,1
111,1
112,44
113,12
114,541
115,5
116,6
117,1
118,1
119,50
120,502
121,95
122,69
123,119
124,1
125,4
126,52
127,154
128,1
129,11
130,5
131,4
132,45
133,50
134,201
135,65
136,2
137,1
138,69
139,1
140,443
141,13
142,1
143,1444
144,64
145,44
146,6
147,1
148,27
149,59
150,11
151,1
152,1458
153,33
154,6
155,22
156,113
157,52
158,443
159,1310
160,51
161,49
162,2
163,11
164,126
165,728
166,198
167,63
168,162
169,6716
170,390
171,249
172,88
173,15
174,100
175,6
176,6
177,122
178,1274
179,4
180,630
181,332
182,1
183,6
184,240
185,266
186,13
187,40
188,117
189,24
190,2
191,100
192,403
193,6
194,1
195,28
196,661
197,82
198,234
199,148
200,20
201,3
202,175
203,18545
204,15
205,110
206,1
207,3
208,1
209,1
210,39
211,1
212,1
213,4
214,19
215,128
216,6
217,80
218,5921
219,105
220,1
221,3428
222,1
223,2
224,35
225,103
226,3164
227,3
228,12
229,124
230,50
231,6
232,5
233,3
234,85
235,2
236,1
237,29
238,6
239,1
240,22
241,10
242,18
243,211
244,17
245,84
246,32
247,24
248,63
249,12
250,28
251,124
252,103
253,3
254,5
255,66
256,1
257,8
258,38
259,2
260,3
261,39
262,15
263,33
264,3
265,96
266,304
267,8356
268,912
269,20
270,1
271,46
272,20
273,165
274,107
275,11
276,196
277,840
278,3
279,20
280,105
281,6377
282,44
283,201
284,10
285,2
286,1299
287,681
288,240
289,105
290,1337
291,182
292,1466
293,6
294,795
295,8
296,349
297,19
298,36
299,6
300,38
301,951
302,1058
303,1
304,19
305,64
306,568
307,98
308,30
309,2
310,3
311,5
312,16
313,904
314,9
315,46
316,2
317,1
318,4370
319,341
320,110
321,42
322,24
323,279
324,93
325,317
326,81
327,120
328,11
329,46
330,21
331,170
332,6256
333,13165
334,1464
335,117
336,11444
337,7
338,11
339,12161
340,3
341,158
342,6740
343,2577
344,269
345,523
346,4
347,1776
348,3
349,46
350,22
351,33
352,20
353,65495
354,25
355,1661
356,478
357,6253
358,3
359,6
360,483
361,382
362,12271
363,13
364,2907
365,11
366,40
367,20
368,242
369,24
370,202
371,4221
372,1
373,3
374,2450
375,19
376,73
377,27
378,3
379,1
380,156
381,1
382,1
383,46
384,1
385,714
386,20
387,6
388,3
389,1721
390,4
391,11
392,2
393,19
394,3
395,300
396,296
397,82
398,1
399,3
