QueryID,dbx_Estimate
1,50.1482
2,32.7491
3,11.8204
4,101.983
5,108.988
6,12.0759
7,3592.94
8,15844.1
9,5.56088
10,1218.88
11,232.411
12,184.924
13,35.8503
14,9.77723
15,969.286
16,5244.12
17,56.5511
18,1664.39
19,6.45659
20,6.46198
21,1188.92
22,94.7268
23,13177.9
24,194.785
25,53.436
26,1032.53
27,73.6999
28,188.847
29,165.945
30,6.85898
31,21.3614
32,36.5482
33,24.2036
34,134.022
35,4.55185
36,10326.9
37,839.313
38,5.09365
39,1.0
40,970.124
41,16.144
42,102.815
43,13.6739
44,125.634
45,7727.04
46,21.9993
47,456.295
48,120.786
49,15.7691
50,3.34319
51,23.8935
52,2.66265
53,282.511
54,1.0
55,1.0
56,162.184
57,17.654
58,1.98736
59,1.0
60,1.0
61,126.791
62,1.0
63,277.141
64,69.6794
65,225.513
66,864.758
67,5688.07
68,65.7259
69,1247.05
70,35.2911
71,231.21
72,6844.8
73,43989.6
74,35.2286
75,35.8503
76,6.99992
77,136.678
78,320.436
79,5018.14
80,3603.45
81,671.603
82,63.5311
83,26796.4
84,58.8898
85,128913.0
86,82.4084
87,255.39
88,122.677
89,73.6614
90,6.47482
91,68.1224
92,9.2281
93,1.0
94,1.0
95,3.28828
96,2574.94
97,35.1336
98,34.2226
99,35.1533
100,17.4041
101,154.916
102,238.324
103,318.875
104,1138.46
105,1337.57
106,11.7888
107,10.7307
108,259.372
109,3.27238
110,951.439
111,2.08445
112,1073.47
113,77.4209
114,4.73061
115,20.0998
116,1013.18
117,186.463
118,1.69985
119,1.0
120,1.0
121,1.0
122,2113.87
123,1.0
124,2413.96
