QueryID,duckdb_Estimate
1,638
2,2877
3,6874
4,190
5,22982
6,3180
7,176
8,97
9,153
10,153
11,292
12,17
13,485
14,104
15,1197
16,5196
17,192
18,50
19,33
20,57
21,1039
22,41
23,474
24,94
25,3411
26,1248
27,249
28,249
29,230
30,230
31,3
32,0
33,8651
34,87
35,438
36,55
37,39
38,311
39,57
40,22
41,569
42,75
43,450
44,66
45,2
46,3
47,8
48,237
49,1
50,13
51,0
52,0
53,2
54,1
55,0
56,7740
57,43
58,129
59,25
60,17
61,25
62,6493
63,1803
64,21
65,1298
66,72
67,636
68,176
69,2268
70,11344
71,276
72,552
73,153
74,204
75,221
76,1106
77,485
78,1197
79,81974
80,379
81,5174
82,1034
83,11
84,1039
85,2370
86,85293
87,23693
88,1248
89,109
90,549
91,989
92,4947
93,4152
94,830
95,1153
96,144
97,12
98,87
99,87
100,438
101,7814
102,39073
103,22
104,39
105,164
106,11
107,86
108,1556
109,33778
110,0
111,279
112,1894
113,6
114,1
115,4
116,391
117,0
118,6
119,6493
120,0
121,3
