QueryID,duckdb_Estimate
1,638
2,73734
3,146436
4,2877
5,1374
6,190
7,4596
8,127
9,35
10,10484
11,453
12,3
13,153
14,153
15,240
16,292
17,17
18,97
19,20
20,239
21,1039
22,38
23,6
24,11
25,41
26,8
27,94
28,18
29,136
30,145
31,249
32,49
33,49
34,9195
35,230
36,230
37,3
38,0
39,1730
40,17
41,87
42,11
43,1
44,12
45,4
46,4
47,3
48,90
49,0
50,0
51,1
52,0
53,1
54,9
55,0
56,0
57,0
58,0
59,0
60,0
61,309
62,8
63,3
64,259
65,72
66,51
67,2
68,25
69,35
70,2096
71,52421
72,90
73,453
74,55
75,110
76,153
77,204
78,221
79,221
80,485
81,239
82,3278
83,41
84,41
85,57
86,39
87,2
88,207
89,474
90,3411
91,4738
92,682
93,249
94,21
95,109
96,39
97,197
98,830
99,166
100,4151
101,230
102,2
103,17
104,87
105,17
106,438
107,1562
108,62
109,7814
110,1
111,2
112,17
113,12
114,1351
115,0
116,55
117,75
118,1
119,0
120,0
121,15
122,0
123,259
124,0
125,0
