QueryID,duckdb_Estimate
1,3194
2,73734
3,146436
4,2877
5,1374
6,190
7,4596
8,127
9,176
10,10484
11,453
12,3
13,153
14,292
15,17
16,97
17,20
18,239
19,25984
20,962
21,6
22,11
23,207
24,41
25,474
26,18
27,682
28,145
29,1248
30,1248
31,249
32,9195
33,230
34,17
35,1
36,1730
37,87
38,2190
39,55
40,1
41,62
42,11
43,22
44,22
45,3
46,2254
47,2
48,0
49,132
50,1
51,3
52,8
53,47
54,2
55,0
56,0
57,2
58,0
59,0
60,1548
61,43
62,3
63,6493
64,360
65,259
66,2
67,25
68,35
69,2096
70,52421
71,90
72,453
73,55
74,2761
75,153
76,1024
77,221
78,221
79,485
80,239
81,3278
82,41
83,41
84,57
85,39
86,11
87,207
88,2370
89,17058
90,23693
91,682
92,1248
93,21
94,109
95,39
96,197
97,20760
98,830
99,4151
100,1153
101,12
102,17
103,438
104,17
105,2190
106,7814
107,62
108,39073
109,1
110,2
111,17
112,12
113,6755
114,18
115,279
116,1894
117,6
118,0
119,0
120,78
121,0
122,259
123,0
124,0
