QueryID,postgres_Estimate
1,79851
2,2307
3,2307
4,2307
5,2307
6,864
7,864
8,643
9,864
10,864
11,12424
12,5092
13,2307
14,15205
15,1001456
16,755905
17,3452
18,2307
19,9217
20,521
21,5349359
22,341143
23,526589
24,550445
25,864
26,42214
27,1279
28,1295
29,864
30,57757
31,153612
32,1319
33,229757
34,121863391
35,49902048
36,568
37,7488
38,1223424
39,33530526
40,1993248
41,57757
42,864
43,433728
44,57757
45,10406
46,326015
47,28901
48,1196986
49,112091
50,7500
51,1976
52,865
53,345
54,48
55,114
56,40542095
57,13164778
58,2446
59,1276315
60,12424
61,111118
62,7020656
63,57757
64,3373691
65,10383
66,1633
67,2307
68,1648
69,864
70,864
71,1007536
72,14221853
73,864
74,287741
75,33239
76,2307
77,128430
78,980364
79,12424
80,12424
81,864
82,69880
83,207961
84,1993248
85,594038
86,864
87,864
88,42214
89,12424
90,2307
91,12424
92,2307
93,49902048
94,864
95,57757
96,864
97,92833
98,827534074
99,1640
100,57497180
101,864
102,482302
103,2161
104,7488
105,10242
106,12424
107,10866
108,864
109,864
110,61361290
111,4023087
112,49902048
113,16608
114,1054430
115,1422361
116,62876129
117,11186244
118,3186065
119,2307
120,7539
121,144695
