QueryID,postgres_Estimate
1,79851
2,31
3,12
4,90
5,71517
6,7
7,71517
8,11191
9,6048
10,2263
11,879
12,643
13,864
14,864
15,1080
16,7
17,6048
18,130638
19,15205
20,3577
21,4585
22,3452
23,19698
24,1111
25,5349359
26,228096
27,526589
28,7137
29,321408
30,27156
31,256
32,1279
33,1295
34,217
35,73
36,57757
37,153612
38,1319
39,1394
40,121863391
41,50694936
42,19
43,101
44,11363131
45,228096
46,71882100
47,589248
48,13445568
49,343950
50,4867
51,105
52,72576
53,175
54,7260
55,46
56,4222
57,5
58,734
59,48
60,1
61,249938
62,13164778
63,264
64,7020656
65,4851588
66,10383
67,6132
68,15841
69,9183
70,2263
71,31
72,870
73,27156
74,6211
75,14221853
76,864
77,287741
78,33239
79,1606
80,77760
81,3577
82,12216
83,59
84,425
85,6132
86,1645
87,1261
88,6132
89,3603
90,321408
91,10368
92,217
93,256
94,27684
95,1080
96,1519
97,33480
98,57457559
99,26784
100,31
101,2792886
102,1204
103,1606
104,29513827
105,6570
106,57497180
107,2861
108,344
109,2924
110,214
111,682
112,6132
113,64233
114,321408
115,61361290
116,4023087
117,77239483
118,35494
119,1054430
120,1422361
121,181360
122,5319065
123,2604
124,7539
125,1875
