QueryID,postgres_Estimate
1,73
2,31
3,12
4,90
5,217
6,22
7,2790
8,23913
9,7
10,2263
11,879
12,643
13,73
14,22
15,6570
16,6570
17,197
18,6132
19,7
20,12
21,19698
22,521
23,19272
24,264
25,3577
26,6132
27,217
28,27156
29,876
30,12
31,876
32,217
33,73
34,1606
35,7
36,19272
37,1606
38,7
39,7
40,8184
41,2604
42,27156
43,84
44,6132
45,49786
46,31
47,49786
48,10406
49,1080
50,105
51,49
52,49
53,597432
54,21
55,4222
56,411
57,264
58,48
59,1
60,19530
61,264
62,49
63,372
64,84
65,22190
66,6132
67,15841
68,511
69,2263
70,31
71,870
72,27156
73,78840
74,31
75,73
76,7
77,511
78,511
79,6570
80,19272
81,4774
82,59
83,149342
84,708
85,126878
86,84
87,3577
88,630
89,217
90,7
91,217
92,256
93,154
94,630
95,1519
96,8184
97,31
98,31
99,31
100,73
101,630
102,511
103,511
104,6570
105,6570
106,12
107,344
108,876
109,216
110,2790
111,6132
112,64233
113,372
114,7
115,1606
116,2790
117,15841
118,1519
119,3577
120,181360
121,45990
122,2604
123,99
124,8184
