QueryID,postgresfull_Estimate
1,79851
2,692507
3,2995974
4,1965661
5,268784
6,23913
7,54761
8,643
9,11068706
10,10604467
11,50218
12,5092
13,130638
14,15205
15,1001456
16,755905
17,3452
18,147949
19,9217
20,521
21,5349359
22,341143
23,526589
24,550445
25,8791698989
26,42214
27,1279
28,1295
29,6773256
30,10007465
31,153612
32,1319
33,229757
34,121863391
35,50694936
36,3289
37,35162
38,11363131
39,33530526
40,13043128
41,153554379
42,346373400
43,14731109
44,343950
45,10406
46,326015
47,28901
48,1196986
49,112091
50,7500
51,1976
52,865
53,345
54,48
55,114
56,40542095
57,13164778
58,939305
59,1276315
60,114703
61,111118
62,7020656
63,10359475
64,3373691
65,10383
66,1618301
67,79045
68,9183
69,143021
70,133530
71,1007536
72,14221853
73,11068706
74,287741
75,33239
76,286878
77,128430
78,980364
79,2013866
80,1215058
81,9406
82,69880
83,207961
84,2461793
85,594038
86,985967
87,785733
88,42214
89,233400
90,119053
91,279978
92,140788
93,57457559
94,15550436
95,2792886
96,382228
97,92833
98,827534074
99,15133522
100,57497180
101,471787
102,482302
103,12107
104,35162
105,58499
106,82293
107,10866
108,64233
109,141057589
110,61361290
111,4023087
112,77239483
113,16608
114,1054430
115,1422361
116,62876129
117,11186244
118,3186065
119,15536876
120,7539
121,144695
