QueryID,postgresfull_Estimate
1,79851
2,35904606
3,7510902
4,1479938
5,2995974
6,4200498
7,268784
8,11191
9,54761
10,222884538
11,879
12,643
13,11068706
14,10604467
15,14206
16,51031
17,10883
18,130638
19,15205
20,12982
21,4585
22,3452
23,19698
24,1111
25,5349359
26,341143
27,526589
28,7137
29,8791698989
30,45027782
31,256
32,1279
33,1295
34,3924
35,6773256
36,10007465
37,153612
38,1319
39,1394
40,121863391
41,50694936
42,19
43,101
44,11363131
45,13043128
46,71882100
47,162078291
48,14731109
49,343950
50,4867
51,105
52,696724
53,175
54,7260
55,46
56,4222
57,5
58,734
59,48
60,1
61,249938
62,13164778
63,54544
64,7020656
65,10359475
66,10383
67,3458260
68,168928
69,9183
70,230652847
71,236711638
72,870
73,133530
74,6211
75,14221853
76,11068706
77,287741
78,33239
79,286878
80,274462
81,12708
82,12216
83,59
84,425
85,117041
86,1645
87,1261
88,5260934
89,3603
90,985967
91,785733
92,1698
93,256
94,110983
95,254425
96,1726
97,300876
98,57457559
99,15550436
100,56449164
101,2792886
102,1204
103,85212378
104,1768510403
105,32339420
106,57497180
107,2861
108,344
109,2924
110,214
111,39131
112,23221
113,64233
114,141057589
115,61361290
116,4023087
117,77239483
118,35494
119,1054430
120,1422361
121,181360
122,5319065
123,33203829
124,7539
125,1875
