QueryID,postgresfull_Estimate
1,79851
2,35904606
3,7510902
4,1479938
5,6402276
6,1965661
7,574411
8,23913
9,54761
10,222884538
11,879
12,643
13,11068706
14,23879
15,10883
16,279184
17,197
18,2140157
19,4585
20,3452
21,19698
22,521
23,5349359
24,341143
25,6826
26,1176324
27,53329108
28,45027782
29,42214
30,1279
31,1295
32,3924
33,6773256
34,153612
35,2822
36,229757
37,121863391
38,50694936
39,19
40,16720
41,24281403
42,33530526
43,27873973
44,153554379
45,162078291
46,31469826
47,160945
48,10406
49,18130
50,105
51,4227
52,375
53,1196986
54,21
55,4222
56,411
57,345
58,48
59,1
60,249938
61,6259838
62,707
63,7020656
64,10359475
65,22190
66,3458260
67,168928
68,19624
69,230652847
70,236711638
71,870
72,133530
73,1023842
74,14221853
75,11068706
76,614935
77,71037
78,613084
79,274462
80,980364
81,5809
82,59
83,149342
84,708
85,126878
86,444421
87,31912
88,7701
89,5979
90,4766
91,1698
92,256
93,673
94,1543
95,1726
96,140788
97,57457559
98,15550436
99,56449164
100,2792886
101,1204
102,182101574
103,1768510403
104,32339420
105,122884798
106,471787
107,344
108,482302
109,216
110,83627
111,23221
112,64233
113,141057589
114,131132018
115,1880356
116,77239483
117,35494
118,13669
119,8769
120,181360
121,68960
122,33203829
123,99
124,144695
