QueryID,safebound_Estimate,safebound_InferenceTime
1,79851.0,0.48899999999999993
2,11512370.589882445,1.027
3,20958106.34446118,0.684
4,913718.020138244,0.91
5,99139960.51403116,0.8009999999999999
6,59373609.33067831,1.135
7,1179454.949772613,0.606
8,4030249.6583726346,1.4929999999999999
9,915924.349079181,6.436
10,2113662.2316255355,1.987
11,2865174.837495417,0.882
12,51436.26466636814,2.15
13,13321780.138321212,1.202
14,537823.4023604051,2.1879999999999997
15,424352.0,0.358
16,117919.0409035409,0.45199999999999996
17,11102.0,0.7060000000000001
18,299843.5592948717,1.374
19,34789.0,1.3539999999999999
20,6995153.664923294,0.962
21,339247.256048004,2.487
22,19162.526315789477,1.779
23,172132.47818521425,0.937
24,2592953.5302302446,3.4250000000000003
25,54085097.60158056,1.688
26,2802284.584311698,6.979
27,734072974.731026,1.8370000000000002
28,238646617.90723884,1.6969999999999998
29,492473461.6201124,5.862
30,23035456.104800794,3.617
31,2301333017.186745,1.15
32,86966569.7585112,2.494
33,1946720.8024377965,2.3
34,108599239.07103112,0.46099999999999997
35,2313475188.366085,1.806
36,351044268.0614794,4.103
37,267143.24889110686,2.678
38,242066.73137464956,5.8919999999999995
39,1553396.3156825856,3.663
40,154474865.1503241,2.306
41,20355147.96117236,7.9830000000000005
42,9372319.043478262,3.8240000000000003
43,7652553.601685828,4.683
44,9534354370.60661,3.892
45,8187412562.699917,5.218999999999999
46,158103333.42417246,5.305
47,101290356055.86584,2.542
48,8976256400.082476,8.181000000000001
49,46924306.96623469,1.304
50,29285352.766378533,3.21
51,7881504.0,1.736
52,14393311817849.578,3.665
53,72169414452.21967,10.370000000000001
54,7055833407.125721,1.366
55,282681408.94783306,5.313
56,116411363.74013849,3.901
57,183670898.4762509,6.484
58,52185137.36593695,9.846
59,1506305.541575485,4.059
60,1648916.6953395451,7.784
61,176289024443.7924,0.717
62,74359365850.27916,3.6879999999999997
63,18525978065.95724,2.238
64,3751571000.842846,5.8919999999999995
65,465005699.2095234,9.027999999999999
66,60293548.9098745,4.021
67,1206127618.7550535,5.271
68,10715193.134900784,1.746
69,2934881.0708331685,2.269
70,5062722.358004069,1.5859999999999999
71,22266087.5101134,1.428
72,30313436.075974867,0.728
73,30305535.71464696,0.773
74,1122132.0899299628,1.73
75,1128817.7702182096,2.593
76,13321780.138321212,1.1640000000000001
77,2418315.0,2.2520000000000002
78,4026724.3689009766,2.085
79,68463989.26666512,1.227
80,225928.4134615384,1.624
81,7032362.546321651,0.6449999999999999
82,24317658.95223125,0.408
83,1828840087.231911,2.907
84,5330174196.798422,1.502
85,92133306.77705212,2.433
86,921310.2189179232,2.63
87,1300663.3610484684,4.042
88,15428870.565153409,1.779
89,29971072.799620584,5.35
90,359800209.2398821,5.886
91,106323022104.74413,2.009
92,36858227.0343055,4.715999999999999
93,2301333017.186745,1.253
94,101998147.0580485,1.0410000000000001
95,100230428.52345754,0.9790000000000001
96,114762951.65126064,0.985
97,105231086.39195144,0.9610000000000001
98,95577467.68275076,5.78
99,348059450.7230432,3.9029999999999996
100,197519001.821552,4.675999999999999
101,4992289373.403126,2.21
102,1258810.611784981,5.475
103,1275545343.6586764,1.9919999999999998
104,18013256971.862694,0.923
105,218910199.06658804,3.316
106,990444436.7509176,1.303
107,97909884.0047886,4.538
108,5032354.71527513,4.031
109,7771482943.036371,0.8099999999999999
110,7652553.601685826,4.721
111,1381254.4501806695,4.617
112,165100281410.90128,3.1719999999999997
113,885510049.9394498,3.832
114,502612287.8868281,8.902000000000001
115,1569265705.029466,5.159000000000001
116,380401774095.3217,2.506
117,5108331571.746311,9.438
118,25108762.26147859,4.915
119,1697266945.6138153,2.847
120,42279860074.43098,7.377
121,93833053085.22932,3.063
122,84436492980.46027,6.4
123,5598816842.350563,2.9520000000000004
124,59241263.67427257,4.947
125,107462815.7813279,3.012
