QueryID,safebound_Estimate,safebound_InferenceTime
1,79851.0,0.51
2,11512370.589882445,1.064
3,20958106.34446118,0.717
4,913718.020138244,0.94
5,99139960.51403116,0.804
6,59373609.33067831,1.1520000000000001
7,1179454.949772613,0.612
8,4030249.6583726346,1.489
9,915924.349079181,6.446000000000001
10,2113662.2316255355,1.987
11,2865174.837495417,0.901
12,51436.26466636814,2.246
13,13321780.138321212,1.224
14,117919.0409035409,0.46099999999999997
15,11102.0,0.703
16,299843.5592948717,1.361
17,34789.0,1.269
18,6995153.664923294,0.869
19,339247.256048004,2.2720000000000002
20,19162.526315789477,1.739
21,172132.47818521425,0.9309999999999999
22,2592953.5302302446,3.443
23,54085097.60158056,1.575
24,2802284.584311698,6.702
25,734072974.731026,1.6700000000000002
26,238646617.90723884,1.712
27,492473461.6201124,5.557
28,23035456.104800794,3.451
29,2301333017.186745,1.0939999999999999
30,86966569.7585112,2.331
31,1946720.8024377965,2.216
32,108599239.07103112,0.507
33,2313475188.366085,1.832
34,267143.24889110686,2.639
35,242066.73137464956,5.558999999999999
36,1553396.3156825856,3.4650000000000003
37,154474865.1503241,2.232
38,20355147.96117236,7.481
39,9372319.043478262,3.613
40,7652553.601685828,4.41
41,9534354370.60661,3.7720000000000002
42,2214852706.731237,2.8960000000000004
43,8187412562.699917,4.844
44,158103333.42417246,5.234
45,101290356055.86584,2.4
46,8976256400.082476,7.77
47,46924306.96623469,1.2149999999999999
48,29285352.766378533,3.002
49,193504512.0,0.769
50,7881504.0,1.716
51,14393311817849.578,3.472
52,72169414452.21967,9.846
53,7055833407.125721,1.3639999999999999
54,282681408.94783306,5.126
55,116411363.74013849,3.78
56,183670898.4762509,6.537
57,52185137.36593695,10.482999999999999
58,1506305.541575485,4.420999999999999
59,1648916.6953395451,8.604000000000001
60,176289024443.7924,0.723
61,74359365850.27916,4.123
62,18525978065.95724,2.6380000000000003
63,3751571000.842846,6.621
64,465005699.2095234,10.153
65,60293548.9098745,4.5440000000000005
66,1206127618.7550535,5.944999999999999
67,10715193.134900784,1.88
68,2934881.0708331685,2.524
69,5062722.358004069,1.7049999999999998
70,22266087.5101134,1.589
71,30313436.075974867,0.772
72,30305535.71464696,0.74
73,1122132.0899299628,1.7440000000000002
74,1128817.7702182096,2.875
75,13321780.138321212,1.239
76,2418315.0,2.518
77,4026724.3689009766,2.206
78,68463989.26666512,1.266
79,225928.4134615384,1.564
80,7032362.546321651,0.713
81,24317658.95223125,0.481
82,1828840087.231911,2.927
83,5330174196.798422,1.72
84,92133306.77705212,2.6470000000000002
85,921310.2189179232,2.807
86,1300663.3610484684,4.224
87,15428870.565153409,1.897
88,29971072.799620584,5.413
89,359800209.2398821,5.938
90,106323022104.74413,2.016
91,36858227.0343055,4.8069999999999995
92,2301333017.186745,1.3290000000000002
93,101998147.0580485,1.063
94,100230428.52345754,0.9460000000000001
95,114762951.65126064,0.972
96,105231086.39195144,1.0510000000000002
97,95577467.68275076,5.8389999999999995
98,348059450.7230432,3.933
99,197519001.821552,4.386
100,4992289373.403126,2.153
101,1258810.611784981,5.1739999999999995
102,1275545343.6586764,1.7650000000000001
103,18013256971.862694,0.9
104,218910199.06658804,3.229
105,990444436.7509176,1.335
106,97909884.0047886,4.4079999999999995
107,5032354.71527513,3.9090000000000003
108,7771482943.036371,0.8059999999999999
109,7652553.601685826,4.648000000000001
110,1381254.4501806695,4.356
111,165100281410.90128,2.9650000000000003
112,885510049.9394498,3.649
113,502612287.8868281,7.9
114,1569265705.029466,4.816
115,380401774095.3217,2.2529999999999997
116,5108331571.746311,8.63
117,25108762.26147859,4.428
118,1697266945.6138153,2.5500000000000003
119,42279860074.43098,6.684
120,93833053085.22932,2.823
121,84436492980.46027,5.958
122,5598816842.350563,2.6470000000000002
123,59241263.67427257,4.656000000000001
124,107462815.7813279,2.835
