QueryID,truecardinality_Estimate
1,76721
2,3360
3,1862
4,1639
5,3124
6,804
7,512
8,24
9,957
10,482
11,4847
12,6810
13,3548
14,24009
15,14365
16,17437
17,3078
18,1722
19,2995
20,1035
21,358901
22,9039
23,121346
24,12740
25,526
26,19910
27,8252
28,2412
29,858
30,22516
31,14837
32,175
33,25496
34,244218
35,23078
36,74
37,1401
38,1707
39,14
40,3471
41,455
42,567
43,3509
44,21415
45,925
46,2008
47,12788
48,26459
49,15493
50,4289
51,1182
52,277
53,311
54,4542
55,42
56,767824
57,410364
58,1136
59,520013
60,123
61,32128
62,48744
63,25568
64,23931
65,9203
66,1460
67,3022
68,2850
69,822
70,799
71,21847
72,46841
73,957
74,23504
75,9306
76,3367
77,17501
78,12513
79,13401
80,11125
81,677
82,12725
83,14335
84,25554
85,137060
86,445
87,742
88,19910
89,2827
90,1492
91,3148
92,1588
93,38400
94,646
95,6746
96,406
97,19689
98,356361
99,2425
100,209687
101,544
102,30854
103,1063
104,1401
105,3190
106,1234
107,1834
108,87
109,166
110,743
111,6069
112,23132
113,30081
114,2612
115,2953
116,732868
117,446581
118,4248
119,2655
120,3083
121,4473
