QueryID,truecardinality_Estimate
1,76721
2,33
3,2
4,62
5,6679
6,1
7,8740
8,8423
9,512
10,52
11,134
12,2
13,957
14,482
15,2
16,1
17,719
18,6768
19,24224
20,319
21,4278
22,3078
23,1956
24,177
25,286221
26,5756
27,179083
28,435
29,1830
30,2
31,14807
32,8252
33,2344
34,31
35,68
36,22516
37,14837
38,175
39,216
40,245762
41,23078
42,16
43,46
44,6076
45,764
46,698
47,5661
48,5714
49,62451
50,1558
51,13
52,759
53,6023
54,3577
55,682
56,1048
57,716
58,355
59,789
60,8
61,32514
62,801943
63,56
64,294800
65,50992
66,15844
67,45
68,561
69,4821
70,111
71,23
72,2031
73,1150
74,636
75,79826
76,957
77,23504
78,9306
79,166
80,3449
81,219
82,1600
83,1745
84,25515
85,16
86,200
87,558
88,354
89,71679
90,1476
91,1073
92,13
93,14807
94,3508
95,309
96,29
97,1478
98,54065
99,1970
100,23
101,6869
102,467
103,101
104,94529
105,199
106,208243
107,309
108,3
109,17423
110,144
111,70
112,18
113,8
114,310
115,711
116,7973
117,91236
118,33055
119,6536
120,6777
121,60324
122,953740
123,152
124,8458
125,334
