query,build_time,solve_time,objective
1,3633496.5,3658708.25,22.8805
2,3000724.75,3766801.5,25.8721
3,1460745.0,1865594.75,28.5034
4,2542292.5,3014849.75,23.8274
5,3172214.25,2422477.5,26.4106
6,3015901.5,4311470.75,28.9571
7,6514766.0,7143315.25,37.6287
8,5454779.5,6944958.75,30.5491
9,7591992.75,10146682.5,30.5491
10,6940916.75,8261427.75,27.0571
11,6753190.5,10038625.75,28.8525
12,7952797.5,6900866.0,28.1463
13,8638944.25,9010864.75,28.1463
14,8011119.75,6388418.5,30.3248
15,8117013.75,8755898.0,36.9187
16,6257279.25,9331574.0,37.9546
17,6774136.5,6924308.25,33.223
18,5264722.0,7420810.75,31.3546
19,10834046.75,13789948.0,38.7651
20,12503868.0,17709161.25,29.81
21,7794252.0,8137467.0,38.3843
22,13121443.5,17033310.75,35.1974
23,13031621.0,16496210.25,34.335
24,14726340.75,23697688.0,47.117
25,7631309.5,10473562.0,38.2878
26,16359600.75,26100904.5,31.5624
27,14409995.0,16165196.5,39.3843
28,22347651.0,30192098.0,36.1974
29,14718159.75,19294111.5,39.2878
30,4635156.75,5703490.5,23.1674
