query_id,run_id,build_time,solve_time,objective_value
1,0,723511,5.31315e+06,22.8804
1,1,246515,934097,22.8804
1,2,169891,698522,22.8804
1,3,169982,548898,22.8804
1,4,117157,523006,22.8804
1,5,109369,567674,22.8804
1,6,110830,459256,22.8804
1,7,116770,522405,22.8804
1,8,116008,520999,22.8804
1,9,108004,461572,22.8804
2,0,118988,497876,25.4642
2,1,127489,436880,25.4642
2,2,108517,491823,25.4642
2,3,123369,436372,25.4642
2,4,124133,438861,25.4642
2,5,161864,493921,25.4642
2,6,106994,437159,25.4642
2,7,108126,439786,25.4642
2,8,107223,437199,25.4642
2,9,122221,433366,25.4642
3,0,95241,367936,28.4817
3,1,93987,359163,28.4817
3,2,105173,356065,28.4817
3,3,107229,368440,28.4817
3,4,94775,356029,28.4817
3,5,94408,357557,28.4817
3,6,108033,382754,28.4817
3,7,98472,350506,28.4817
3,8,115528,356892,28.4817
3,9,94896,384943,28.4817
4,0,108760,445326,22.5474
4,1,107279,437462,22.5474
4,2,120540,463019,22.5474
4,3,120992,434554,22.5474
4,4,107469,439127,22.5474
4,5,107603,433916,22.5474
4,6,107257,436347,22.5474
4,7,121225,433952,22.5474
4,8,107289,434734,22.5474
4,9,121899,450532,22.5474
5,0,124884,476185,26.4106
5,1,124047,449745,26.4106
5,2,110372,450250,26.4106
5,3,107457,453305,26.4106
5,4,107364,450308,26.4106
5,5,107410,448028,26.4106
5,6,106371,448787,26.4106
5,7,122850,447602,26.4106
5,8,121095,447072,26.4106
5,9,106968,447418,26.4106
6,0,107526,454744,27.9081
6,1,116431,514337,27.9081
6,2,113568,531266,27.9081
6,3,113898,513629,27.9081
6,4,107451,449499,27.9081
6,5,106735,462387,27.9081
6,6,106313,452279,27.9081
6,7,104074,467889,27.9081
6,8,103261,482867,27.9081
6,9,106347,451087,27.9081
7,0,151672,939082,37.6287
7,1,134806,818248,37.6287
7,2,135213,789593,37.6287
7,3,134878,798768,37.6287
7,4,135804,793898,37.6287
7,5,135749,790402,37.6287
7,6,135040,788258,37.6287
7,7,135928,782244,37.6287
7,8,135430,781386,37.6287
7,9,135086,783418,37.6287
8,0,142830,711383,30.1854
8,1,126980,655506,30.1854
8,2,127264,642052,30.1854
8,3,126543,634881,30.1854
8,4,126072,643691,30.1854
8,5,126633,635431,30.1854
8,6,126380,647680,30.1854
8,7,126021,639819,30.1854
8,8,127496,630595,30.1854
8,9,127710,634812,30.1854
9,0,155912,781766,30.1854
9,1,140100,738968,30.1854
9,2,140210,691842,30.1854
9,3,140304,751251,30.1854
9,4,140237,807440,30.1854
9,5,155582,772347,30.1854
9,6,141212,770373,30.1854
9,7,139865,775715,30.1854
9,8,141729,771033,30.1854
9,9,154261,766985,30.1854
10,0,150080,655145,26.3479
10,1,137462,662182,26.3479
10,2,143371,670212,26.3479
10,3,132922,660606,26.3479
10,4,133067,657197,26.3479
10,5,129671,665816,26.3479
10,6,144923,654687,26.3479
10,7,134520,658089,26.3479
10,8,133315,658659,26.3479
10,9,132582,654504,26.3479
11,0,140045,757822,28.8525
11,1,167132,854308,28.8525
11,2,168894,840746,28.8525
11,3,169265,841172,28.8525
11,4,168551,859047,28.8525
11,5,140436,736411,28.8525
11,6,135327,761353,28.8525
11,7,140644,736146,28.8525
11,8,140803,727853,28.8525
11,9,140988,740248,28.8525
12,0,141184,736707,27.9764
12,1,148593,738827,27.9764
12,2,159355,739211,27.9764
12,3,141628,736031,27.9764
12,4,141738,733647,27.9764
12,5,143020,736791,27.9764
12,6,141382,735287,27.9764
12,7,141848,740740,27.9764
12,8,141353,746202,27.9764
12,9,140793,740416,27.9764
13,0,154897,895154,27.9764
13,1,155972,777371,27.9764
13,2,154248,737152,27.9764
13,3,155278,734940,27.9764
13,4,157210,736637,27.9764
13,5,156272,745859,27.9764
13,6,160180,737251,27.9764
13,7,155249,740671,27.9764
13,8,179032,739661,27.9764
13,9,156085,785501,27.9764
14,0,143587,619255,30.3079
14,1,165394,619967,30.3079
14,2,141802,615128,30.3079
14,3,156212,618093,30.3079
14,4,141479,647154,30.3079
14,5,141375,616615,30.3079
14,6,139583,623594,30.3079
14,7,141082,615557,30.3079
14,8,141431,627817,30.3079
14,9,142603,616729,30.3079
15,0,147782,789731,36.9187
15,1,147365,805239,36.9187
15,2,149254,788186,36.9187
15,3,148361,786063,36.9187
15,4,147648,787419,36.9187
15,5,147838,782011,36.9187
15,6,163842,815786,36.9187
15,7,147455,788901,36.9187
15,8,147611,798217,36.9187
15,9,148019,797795,36.9187
16,0,133291,727765,37.9546
16,1,149228,728609,37.9546
16,2,133938,727296,37.9546
16,3,146735,728383,37.9546
16,4,133133,707734,37.9546
16,5,130489,741231,37.9546
16,6,131241,741936,37.9546
16,7,129581,735534,37.9546
16,8,134983,727353,37.9546
16,9,134764,728622,37.9546
17,0,127294,779852,33.0968
17,1,155178,671752,33.0968
17,2,123907,695498,33.0968
17,3,127947,681770,33.0968
17,4,124434,656166,33.0968
17,5,127787,676758,33.0968
17,6,127844,685173,33.0968
17,7,126584,679284,33.0968
17,8,128311,695745,33.0968
17,9,128834,679691,33.0968
18,0,130916,600025,30.5343
18,1,142917,594524,30.5343
18,2,128391,596789,30.5343
18,3,143331,598442,30.5343
18,4,128302,596505,30.5343
18,5,127399,595868,30.5343
18,6,138761,679422,30.5343
18,7,123613,594293,30.5343
18,8,128203,599895,30.5343
18,9,127440,596316,30.5343
19,0,160853,884885,38.7651
19,1,167982,838959,38.7651
19,2,158743,863750,38.7651
19,3,154377,828365,38.7651
19,4,169110,862017,38.7651
19,5,169269,830937,38.7651
19,6,158179,870390,38.7651
19,7,156579,830363,38.7651
19,8,155630,880115,38.7651
19,9,173442,859776,38.7651
20,0,164658,957052,28.9081
20,1,167122,923710,28.9081
20,2,183395,933485,28.9081
20,3,184947,930685,28.9081
20,4,170101,907277,28.9081
20,5,199934,935179,28.9081
20,6,185853,915129,28.9081
20,7,170141,929633,28.9081
20,8,187865,912534,28.9081
20,9,164829,921853,28.9081
21,0,161748,748978,38.3843
21,1,146407,755778,38.3843
21,2,149462,755595,38.3843
21,3,146635,753676,38.3843
21,4,146254,762137,38.3843
21,5,147283,761121,38.3843
21,6,141031,754883,38.3843
21,7,156546,754826,38.3843
21,8,146419,756444,38.3843
21,9,147023,753269,38.3843
22,0,188217,1.03342e+06,35.1974
22,1,179727,948575,35.1974
22,2,170232,982293,35.1974
22,3,169372,947322,35.1974
22,4,190998,974249,35.1974
22,5,170277,953965,35.1974
22,6,170819,982015,35.1974
22,7,170410,949360,35.1974
22,8,175525,982938,35.1974
22,9,170137,1.01651e+06,35.1974
23,0,202886,995493,34.335
23,1,172771,938858,34.335
23,2,193036,965404,34.335
23,3,192347,984071,34.335
23,4,177045,980530,34.335
23,5,191973,979089,34.335
23,6,200017,945452,34.335
23,7,173306,974799,34.335
23,8,177431,954361,34.335
23,9,178990,987960,34.335
24,0,186181,1.18563e+06,47.117
24,1,235683,1.3961e+06,47.117
24,2,231016,1.33794e+06,47.117
24,3,221473,1.0871e+06,47.117
24,4,191822,1.10378e+06,47.117
24,5,179108,1.1294e+06,47.117
24,6,200494,1.14562e+06,47.117
24,7,178985,1.1112e+06,47.117
24,8,185035,1.13518e+06,47.117
24,9,186079,1.15228e+06,47.117
25,0,159520,800187,38.2801
25,1,144151,840959,38.2801
25,2,143204,799799,38.2801
25,3,148033,832974,38.2801
25,4,176175,826074,38.2801
25,5,149419,823892,38.2801
25,6,148373,829157,38.2801
25,7,148504,826963,38.2801
25,8,148406,833886,38.2801
25,9,144511,828042,38.2801
26,0,185475,1.17692e+06,30.7938
26,1,187694,1.22615e+06,30.7938
26,2,194233,1.1872e+06,30.7938
26,3,194078,1.20082e+06,30.7938
26,4,186905,1.20752e+06,30.7938
26,5,208095,1.23178e+06,30.7938
26,6,185372,1.22954e+06,30.7938
26,7,187243,1.1754e+06,30.7938
26,8,206639,1.19481e+06,30.7938
26,9,188656,1.14535e+06,30.7938
27,0,191028,1.08904e+06,39.3843
27,1,198053,1.05112e+06,39.3843
27,2,185824,1.05304e+06,39.3843
27,3,221066,1.076e+06,39.3843
27,4,185384,1.07591e+06,39.3843
27,5,192578,1.039e+06,39.3843
27,6,197251,1.07232e+06,39.3843
27,7,183431,1.0743e+06,39.3843
27,8,186776,1.07178e+06,39.3843
27,9,198238,1.06906e+06,39.3843
28,0,220415,1.31722e+06,36.1974
28,1,270873,1.57228e+06,36.1974
28,2,268380,1.54802e+06,36.1974
28,3,230414,1.27178e+06,36.1974
28,4,233194,1.28464e+06,36.1974
28,5,217546,1.2324e+06,36.1974
28,6,211189,1.22841e+06,36.1974
28,7,232046,1.23971e+06,36.1974
28,8,211307,1.23379e+06,36.1974
28,9,233330,1.25138e+06,36.1974
29,0,186859,1.13109e+06,39.2801
29,1,186724,1.13999e+06,39.2801
29,2,186604,1.1299e+06,39.2801
29,3,180431,1.17208e+06,39.2801
29,4,198799,1.14482e+06,39.2801
29,5,199595,1.14585e+06,39.2801
29,6,185525,1.13085e+06,39.2801
29,7,179631,1.11724e+06,39.2801
29,8,185553,1.11794e+06,39.2801
29,9,201106,1.14206e+06,39.2801
31,0,116980,536247,21.4896
31,1,119729,521630,21.4896
31,2,116116,501600,21.4896
31,3,116068,501959,21.4896
31,4,120438,518904,21.4896
31,5,120287,510525,21.4896
31,6,116159,501582,21.4896
31,7,120230,516587,21.4896
31,8,116544,502614,21.4896
31,9,120009,517014,21.4896
32,0,209626,1.13023e+06,28.7948
32,1,211453,1.14924e+06,28.7948
32,2,232634,1.15024e+06,28.7948
32,3,233785,1.17517e+06,28.7948
32,4,210861,1.17059e+06,28.7948
32,5,220510,1.19854e+06,28.7948
32,6,217438,1.16459e+06,28.7948
32,7,217626,1.16532e+06,28.7948
32,8,218733,1.18738e+06,28.7948
32,9,222645,1.16742e+06,28.7948
