QueryID,Tables,duckdb_Estimate,duckdb_InferenceTime
1,CT MC,2609129,2.8378963470458984
1,MC T,2724454,1.8265247344970703
1,MC MI_IDX,4834794,1.234292984008789
1,MI_IDX T,1441033,1.5406608581542969
1,IT MI_IDX,1392356,1.1029243469238281
1,CT MC T,2724454,2.1703243255615234
1,CT MC MI_IDX,4834794,1.7886161804199219
1,MC MI_IDX T,1552826,2.353191375732422
1,IT MC MI_IDX,4877962,1.77764892578125
1,IT MI_IDX T,1453900,2.151966094970703
1,CT MC MI_IDX T,1552826,2.8810501098632812
1,CT IT MC MI_IDX,4877962,2.195119857788086
1,IT MC MI_IDX T,1566691,2.963542938232422
1,CT IT MC MI_IDX T,1566691,3.648996353149414
2,CN MC,2690060,1.3730525970458984
2,MC T,2724454,1.5952587127685547
2,MC MK,15849071,1.1341571807861328
2,MK T,4723891,1.4729499816894531
2,K MK,4523930,1.0573863983154297
2,CN MC T,2808963,2.592802047729492
2,CN MC MK,16340689,2.164125442504883
2,MC MK T,5090363,2.0720958709716797
2,K MC MK,15849071,1.577138900756836
2,K MK T,4723891,2.0177364349365234
2,CN MC MK T,5248260,3.159046173095703
2,CN K MC MK,16340689,2.1996498107910156
2,K MC MK T,5090363,2.8448104858398438
2,CN K MC MK T,5248260,4.960536956787109
3,MI T,13902436,1.8796920776367188
3,MK T,4723891,1.5988349914550781
3,MI MK,24875746,1.1167526245117188
3,K MK,4523930,0.9679794311523438
3,MI MK T,23310865,3.1440258026123047
3,K MK T,4723891,2.349853515625
3,K MI MK,24875746,1.5444755554199219
3,K MI MK T,23310865,3.1321048736572266
4,MI_IDX T,1441033,1.7712116241455078
4,MK T,4723891,1.4324188232421875
4,MI_IDX MK,64417154,1.8053054809570312
4,IT MI_IDX,1392356,1.7330646514892578
4,K MK,4523930,0.9961128234863281
4,MI_IDX MK T,2692423,2.501964569091797
4,IT MI_IDX T,1453900,1.966714859008789
4,K MK T,4723891,2.9315948486328125
4,K MI_IDX MK,64417154,1.57928466796875
4,IT MI_IDX MK,64992307,1.5425682067871094
4,K MI_IDX MK T,2692423,2.674579620361328
4,IT MI_IDX MK T,2716463,2.597808837890625
4,IT K MI_IDX MK,64992307,1.9898414611816406
4,IT K MI_IDX MK T,2716463,8.616209030151367
5,MI T,13902436,2.2666454315185547
5,MC T,2724454,1.5072822570800781
5,MC MI,14346824,1.5714168548583984
5,IT MI,14968181,2.935171127319336
5,CT MC,2609129,1.4393329620361328
5,MC MI T,13444296,3.5066604614257812
5,IT MI T,14026565,4.105567932128906
5,CT MC T,2724454,2.2742748260498047
5,CT MC MI,14346824,1.7178058624267578
5,IT MC MI,14474921,2.1865367889404297
5,CT MC MI T,13444296,3.287792205810547
5,IT MC MI T,13564334,5.147695541381836
5,CT IT MC MI,14474921,3.0112266540527344
5,CT IT MC MI T,13564334,7.791042327880859
6,K MK,4523930,2.7365684509277344
6,MK T,4723891,2.053976058959961
6,CI MK,49750884,3.3032894134521484
