QueryID,Tables,safebound_Estimate,safebound_InferenceTime
1,MC CT,2609129.0,0.301
1,T MC,2609129.0,0.153
1,MC MI_IDX,6235545.218141137,0.149
1,T MI_IDX,1380035.0,0.11900000000000001
1,IT MI_IDX,1380035.0,0.11699999999999999
1,CT MC T,2609128.9999999995,0.224
1,CT MC MI_IDX,6235545.218141137,0.214
1,MC T MI_IDX,6235545.218141137,0.201
1,MC MI_IDX IT,6235545.218141137,0.193
1,T MI_IDX IT,1380035.0,0.171
1,CT MC T MI_IDX,6235545.218141137,0.27599999999999997
1,CT MC MI_IDX IT,6235545.218141137,0.303
1,MC T MI_IDX IT,6235545.218141137,0.296
1,CT MC T MI_IDX IT,6235545.218141137,0.365
2,CN MC,2609129.0,0.18000000000000002
2,T MC,2609129.0,0.13999999999999999
2,MK MC,59690670.15110543,0.189
2,T MK,4523930.0,0.153
2,K MK,4523930.0,0.14200000000000002
2,CN MC T,2609129.0,0.253
2,CN MC MK,59690670.15110543,0.27999999999999997
2,MC T MK,59690670.15110543,0.24600000000000002
2,MC MK K,59690670.15110544,0.29100000000000004
2,T MK K,4523930.0,0.26699999999999996
2,CN MC T MK,59690670.15110543,0.354
2,CN MC MK K,59690670.15110543,0.429
2,MC T MK K,59690670.15110543,0.40499999999999997
2,CN MC T MK K,59690670.15110543,0.51
3,T MI,14835720.0,0.186
3,T MK,4523930.0,0.149
3,MI MK,389902221.0453321,0.188
3,MK K,4523930.0,0.153
3,T MI MK,389902221.0453321,0.279
3,T MK K,4523930.0,0.264
3,MI MK K,389902221.0453321,0.29500000000000004
3,T MI MK K,389902221.0453321,0.439
4,T MI_IDX,1380035.0,0.13799999999999998
4,T MK,4523930.0,0.147
4,MK MI_IDX,18095720.0,0.152
4,IT MI_IDX,1380035.0,0.11699999999999999
4,K MK,4523930.0,0.14100000000000001
4,T MI_IDX MK,18095720.0,0.216
4,T MI_IDX IT,1380035.0,0.17200000000000001
4,T MK K,4523930.0,0.257
4,MI_IDX MK K,18095720.0,0.255
4,MI_IDX MK IT,18095720.0,0.19799999999999998
4,T MI_IDX MK K,18095720.0,0.41800000000000004
4,T MI_IDX MK IT,18095720.0,0.32
4,MI_IDX MK K IT,18095720.0,0.359
4,T MI_IDX MK K IT,18095720.0,0.46
5,T MI,14835720.0,0.174
5,T MC,2609129.0,0.13899999999999998
5,MC MI,92102477.77275825,0.18000000000000002
5,IT MI,14835720.0,0.135
5,MC CT,2609129.0,0.11699999999999999
5,T MI MC,92102477.77275825,0.25999999999999995
5,T MI IT,14835720.0,0.24899999999999997
5,T MC CT,2609128.9999999995,0.20900000000000002
5,MI MC CT,92102477.77275825,0.23900000000000002
5,MI MC IT,92102477.77275825,0.26699999999999996
5,T MI MC CT,92102477.77275825,0.435
5,T MI MC IT,92102477.77275825,0.442
5,MI MC CT IT,92102477.77275825,0.393
5,T MI MC CT IT,92102477.77275825,0.536
6,K MK,4523930.0,0.166
6,T MK,4523930.0,0.146
6,MK CI,477909267.3558555,0.179
6,T CI,36244344.0,0.191
6,N CI,36244344.0,0.157
6,K MK T,4523930.0,0.283
6,K MK CI,477909267.3558554,0.299
6,MK T CI,477909267.3558555,0.259
6,MK CI N,477909267.3558555,0.304
6,T CI N,36244344.0,0.28200000000000003
6,K MK T CI,477909267.3558554,0.354
6,K MK CI N,477909267.3558554,0.44499999999999995
6,MK T CI N,477909267.3558555,0.41300000000000003
6,K MK T CI N,477909267.3558554,0.569
7,N AN,901343.0,0.175
7,N PI,2963664.0,0.159
7,N CI,36244344.0,0.152
7,PI AN,13060281.095555486,0.183
7,AN CI,138541645.51901948,0.16799999999999998
7,PI CI,1039991108.721478,0.19799999999999998
7,IT PI,2963664.0,0.13699999999999998
7,T CI,36244344.0,0.145
7,ML CI,7568484.957922533,0.156
7,T ML,29997.0,0.14200000000000002
7,ML LT,29997.0,0.133
7,N AN PI,13060281.095555486,0.253
7,N AN CI,138541645.51901948,0.259
7,N PI CI,1039991108.721478,0.29300000000000004
7,IT N PI,2963664.0,0.26899999999999996
7,T N CI,36244344.0,0.277
7,ML N CI,7568484.957922532,0.25999999999999995
7,PI AN CI,19435280757.05523,0.3
7,IT PI AN,13060281.095555484,0.27599999999999997
7,T AN CI,138541645.51901948,0.29100000000000004
7,ML AN CI,331730379.05567575,0.26899999999999996
7,T PI CI,1039991108.7214776,0.31
7,ML PI CI,4808928304.959472,0.285
7,IT PI CI,1039991108.721478,0.29100000000000004
7,T ML CI,7568484.957922533,0.232
7,ML LT CI,7568484.957922533,0.235
7,T ML LT,29997.0,0.22
7,N AN PI CI,19435280757.05523,0.361
7,N AN PI IT,13060281.095555486,0.419
7,N AN CI T,138541645.51901948,0.432
7,N AN CI ML,331730379.0556758,0.40700000000000003
7,N PI CI T,1039991108.721478,0.465
7,N PI CI ML,4808928304.959472,0.42700000000000005
7,N PI CI IT,1039991108.721478,0.43600000000000005
7,N CI T ML,7568484.957922532,0.337
7,N CI ML LT,7568484.957922532,0.397
7,AN PI CI T,19435280757.05523,0.475
7,AN PI CI ML,294817954216.1464,0.428
7,AN PI CI IT,19435280757.05523,0.45199999999999996
7,AN CI T ML,331730379.05567575,0.34099999999999997
7,AN CI ML LT,331730379.05567575,0.40900000000000003
7,PI CI T ML,4808928304.959472,0.356
7,PI CI T IT,1039991108.721478,0.47100000000000003
7,PI CI ML LT,4808928304.959472,0.41800000000000004
7,PI CI ML IT,4808928304.959472,0.41800000000000004
7,CI T ML LT,7568484.957922533,0.374
7,N AN PI CI T,19435280757.05523,0.535
7,N AN PI CI ML,294817954216.1464,0.474
7,N AN PI CI IT,19435280757.05523,0.508
7,N AN CI T ML,331730379.0556758,0.472
7,N AN CI ML LT,331730379.05567575,0.49799999999999994
7,N PI CI T ML,4808928304.959472,0.494
7,N PI CI T IT,1039991108.721478,0.605
7,N PI CI ML LT,4808928304.959472,0.549
7,N PI CI ML IT,4808928304.959472,0.57
7,N CI T ML LT,7568484.957922532,0.47600000000000003
7,AN PI CI T ML,294817954216.1464,0.499
7,AN PI CI T IT,19435280757.05523,0.617
7,AN PI CI ML LT,294817954216.1463,0.555
7,AN PI CI ML IT,294817954216.1464,0.566
7,AN CI T ML LT,331730379.05567575,0.49
7,PI CI T ML LT,4808928304.959472,0.495
7,PI CI T ML IT,4808928304.959472,0.49700000000000005
7,PI CI ML LT IT,4808928304.959472,0.558
7,N AN PI CI T ML,294817954216.1464,0.5479999999999999
7,N AN PI CI T IT,19435280757.05523,0.674
7,N AN PI CI ML LT,294817954216.1463,0.643
7,N AN PI CI ML IT,294817954216.1464,0.627
7,N AN CI T ML LT,331730379.05567575,0.596
7,N PI CI T ML LT,4808928304.959472,0.635
7,N PI CI T ML IT,4808928304.959472,0.648
7,N PI CI ML LT IT,4808928304.959472,0.704
7,AN PI CI T ML LT,294817954216.1463,0.63
7,AN PI CI T ML IT,294817954216.1464,0.6880000000000001
7,AN PI CI ML LT IT,294817954216.1464,0.75
7,PI CI T ML LT IT,4808928304.959472,0.684
7,N AN PI CI T ML LT,294817954216.1463,0.758
7,N AN PI CI T ML IT,294817954216.1464,0.7699999999999999
7,N AN PI CI ML LT IT,294817954216.1464,0.839
7,N PI CI T ML LT IT,4808928304.959472,0.871
7,AN PI CI T ML LT IT,294817954216.1464,0.864
7,N AN PI CI T ML LT IT,294817954216.1464,0.939
8,N1 AN1,901343.0,0.21800000000000003
8,AN1 CI,138541645.51901948,0.185
8,N1 CI,36244344.0,0.166
8,T CI,36244344.0,0.156
8,MC CI,144355556.85515484,0.178
8,RT CI,36244344.0,0.13799999999999998
8,T MC,2609129.0,0.152
8,CN MC,2609129.0,0.13699999999999998
8,N1 AN1 CI,138541645.51901948,0.244
8,T AN1 CI,138541645.51901948,0.283
8,MC AN1 CI,1973268036.7786384,0.298
8,RT AN1 CI,138541645.51901948,0.258
8,N1 T CI,36244344.0,0.272
8,N1 MC CI,144355556.85515484,0.28600000000000003
8,N1 RT CI,36244344.0,0.24899999999999997
8,T MC CI,144355556.85515484,0.243
8,T RT CI,36244344.0,0.23900000000000002
8,CN MC CI,144355556.8551548,0.318
8,RT MC CI,144355556.85515484,0.275
8,T MC CN,2609129.0,0.241
8,AN1 N1 CI T,138541645.51901948,0.422
8,AN1 N1 CI MC,1973268036.7786384,0.47600000000000003
8,AN1 N1 CI RT,138541645.51901948,0.392
8,AN1 CI T MC,1973268036.7786384,0.368
8,AN1 CI T RT,138541645.51901948,0.37
8,AN1 CI MC CN,1973268036.7786384,0.449
8,AN1 CI MC RT,1973268036.7786384,0.38499999999999995
8,N1 CI T MC,144355556.85515484,0.39599999999999996
8,N1 CI T RT,36244344.0,0.381
8,N1 CI MC CN,144355556.85515484,0.462
8,N1 CI MC RT,144355556.85515484,0.38499999999999995
8,CI T MC CN,144355556.85515484,0.386
8,CI T MC RT,144355556.85515484,0.323
8,CI MC CN RT,144355556.85515484,0.399
8,AN1 N1 CI T MC,1973268036.7786384,0.533
8,AN1 N1 CI T RT,138541645.51901948,0.51
8,AN1 N1 CI MC CN,1973268036.7786384,0.58
8,AN1 N1 CI MC RT,1973268036.7786384,0.5860000000000001
8,AN1 CI T MC CN,1973268036.7786384,0.544
8,AN1 CI T MC RT,1973268036.7786384,0.45399999999999996
8,AN1 CI MC CN RT,1973268036.7786384,0.535
8,N1 CI T MC CN,144355556.85515484,0.5109999999999999
8,N1 CI T MC RT,144355556.85515484,0.439
8,N1 CI MC CN RT,144355556.85515484,0.5289999999999999
8,CI T MC CN RT,144355556.85515484,0.477
8,AN1 N1 CI T MC CN,1973268036.7786384,0.616
8,AN1 N1 CI T MC RT,1973268036.7786384,0.62
8,AN1 N1 CI MC CN RT,1973268036.7786384,0.636
8,AN1 CI T MC CN RT,1973268036.7786384,0.611
8,N1 CI T MC CN RT,144355556.85515484,0.601
8,AN1 N1 CI T MC CN RT,1973268036.7786384,0.727
9,T CI,36244344.0,0.18100000000000002
9,MC CI,144355556.85515484,0.17
9,RT CI,36244344.0,0.128
9,N CI,36244344.0,0.147
9,CHN CI,17571519.0,0.12300000000000001
9,AN CI,138541645.51901948,0.162
9,T MC,2609129.0,0.135
9,CN MC,2609129.0,0.13899999999999998
9,N AN,901343.0,0.133
9,T MC CI,144355556.85515484,0.244
9,T RT CI,36244344.0,0.242
9,T N CI,36244344.0,0.273
9,T CHN CI,17571519.0,0.22
9,T AN CI,138541645.51901948,0.279
9,CN MC CI,144355556.8551548,0.268
9,RT MC CI,144355556.85515484,0.24899999999999997
9,N MC CI,144355556.85515484,0.28600000000000003
9,MC CHN CI,122483642.39857917,0.23800000000000002
9,MC AN CI,1973268036.7786384,0.294
9,RT N CI,36244344.0,0.247
9,RT CHN CI,17571519.0,0.19
9,RT AN CI,138541645.51901948,0.256
9,N CHN CI,17571519.0,0.23800000000000002
9,N AN CI,138541645.51901948,0.253
9,AN CHN CI,118600825.4680004,0.263
9,T MC CN,2609129.0,0.24600000000000002
9,CI T MC CN,144355556.85515484,0.38499999999999995
9,CI T MC RT,144355556.85515484,0.323
9,CI T MC N,144355556.85515484,0.356
9,CI T MC CHN,122483642.39857917,0.307
9,CI T MC AN,1973268036.7786384,0.363
9,CI T RT N,36244344.0,0.364
9,CI T RT CHN,17571519.0,0.289
9,CI T RT AN,138541645.51901948,0.363
9,CI T N CHN,17571518.999999996,0.326
9,CI T N AN,138541645.51901948,0.354
9,CI T CHN AN,118600825.46800044,0.34099999999999997
9,CI MC CN RT,144355556.85515484,0.40299999999999997
9,CI MC CN N,144355556.85515484,0.43600000000000005
9,CI MC CN CHN,122483642.39857917,0.386
9,CI MC CN AN,1973268036.7786384,0.44499999999999995
9,CI MC RT N,144355556.85515484,0.373
9,CI MC RT CHN,122483642.39857917,0.307
9,CI MC RT AN,1973268036.7786384,0.383
9,CI MC N CHN,122483642.39857918,0.345
9,CI MC N AN,1973268036.7786384,0.512
9,CI MC CHN AN,1939124580.113732,0.359
9,CI RT N CHN,17571519.0,0.312
9,CI RT N AN,138541645.51901948,0.325
9,CI RT CHN AN,118600825.4680004,0.324
9,CI N CHN AN,118600825.4680004,0.315
9,CI T MC CN RT,144355556.85515484,0.483
9,CI T MC CN N,144355556.85515484,0.535
9,CI T MC CN CHN,122483642.39857917,0.48899999999999993
9,CI T MC CN AN,1973268036.7786384,0.5680000000000001
9,CI T MC RT N,144355556.85515484,0.44499999999999995
9,CI T MC RT CHN,122483642.39857917,0.381
9,CI T MC RT AN,1973268036.7786384,0.456
9,CI T MC N CHN,122483642.39857918,0.414
9,CI T MC N AN,1973268036.7786384,0.431
9,CI T MC CHN AN,1939124580.113732,0.428
9,CI T RT N CHN,17571518.999999996,0.40499999999999997
9,CI T RT N AN,138541645.51901948,0.435
9,CI T RT CHN AN,118600825.46800044,0.419
9,CI T N CHN AN,118600825.46800044,0.40700000000000003
9,CI MC CN RT N,144355556.85515484,0.525
9,CI MC CN RT CHN,122483642.39857917,0.462
9,CI MC CN RT AN,1973268036.7786384,0.536
9,CI MC CN N CHN,122483642.39857918,0.49799999999999994
9,CI MC CN N AN,1973268036.7786384,0.518
9,CI MC CN CHN AN,1939124580.113732,0.513
9,CI MC RT N CHN,122483642.39857918,0.423
9,CI MC RT N AN,1973268036.7786384,0.45199999999999996
9,CI MC RT CHN AN,1939124580.113732,0.43
9,CI MC N CHN AN,1939124580.113732,0.429
9,CI RT N CHN AN,118600825.4680004,0.391
9,CI T MC CN RT N,144355556.85515484,0.6130000000000001
9,CI T MC CN RT CHN,122483642.39857917,0.544
9,CI T MC CN RT AN,1973268036.7786384,0.622
9,CI T MC CN N CHN,122483642.39857918,0.579
9,CI T MC CN N AN,1973268036.7786384,0.592
9,CI T MC CN CHN AN,1939124580.113732,0.5910000000000001
9,CI T MC RT N CHN,122483642.39857918,0.496
9,CI T MC RT N AN,1973268036.7786384,0.525
9,CI T MC RT CHN AN,1939124580.113732,0.508
9,CI T MC N CHN AN,1939124580.113732,0.515
9,CI T RT N CHN AN,118600825.46800044,0.483
9,CI MC CN RT N CHN,122483642.39857918,0.575
9,CI MC CN RT N AN,1973268036.7786384,0.612
9,CI MC CN RT CHN AN,1939124580.113732,0.592
9,CI MC CN N CHN AN,1939124580.113732,0.5900000000000001
9,CI MC RT N CHN AN,1939124580.113732,0.504
9,CI T MC CN RT N CHN,122483642.39857918,0.665
9,CI T MC CN RT N AN,1973268036.7786384,0.69
9,CI T MC CN RT CHN AN,1939124580.113732,0.669
9,CI T MC CN N CHN AN,1939124580.113732,0.665
9,CI T MC RT N CHN AN,1939124580.113732,0.579
9,CI MC CN RT N CHN AN,1939124580.113732,0.674
9,CI T MC CN RT N CHN AN,1939124580.113732,0.758
10,T MC,2609129.0,0.16899999999999998
10,T CI,36244344.0,0.147
10,MC CI,144355556.85515484,0.164
10,CN MC,2609129.0,0.13999999999999999
10,MC CT,2609129.0,0.115
10,CHN CI,17571519.0,0.12300000000000001
10,RT CI,36244344.0,0.124
10,T MC CI,144355556.85515484,0.241
10,T MC CN,2609129.0,0.242
10,T MC CT,2609128.9999999995,0.211
10,T CHN CI,17571519.0,0.217
10,T RT CI,36244344.0,0.23900000000000002
10,MC CHN CI,122483642.39857917,0.23800000000000002
10,RT MC CI,144355556.85515484,0.24899999999999997
10,CN MC CI,144355556.8551548,0.272
10,MC CT CI,144355556.85515484,0.23399999999999999
10,CN MC CT,2609129.0,0.23
10,RT CHN CI,17571519.0,0.189
10,T MC CI CHN,122483642.39857918,0.365
10,T MC CI RT,144355556.85515484,0.381
10,T MC CI CN,144355556.85515484,0.389
10,T MC CI CT,144355556.85515484,0.358
10,T MC CN CT,2609129.0,0.31
10,T CI CHN RT,17571519.0,0.289
10,MC CI CHN RT,122483642.39857917,0.304
10,MC CI CHN CN,122483642.39857917,0.386
10,MC CI CHN CT,122483642.39857918,0.363
10,MC CI RT CN,144355556.8551548,0.408
10,MC CI RT CT,144355556.85515484,0.374
10,MC CI CN CT,144355556.8551548,0.34099999999999997
10,T MC CI CHN RT,122483642.39857918,0.432
10,T MC CI CHN CN,122483642.39857918,0.49700000000000005
10,T MC CI CHN CT,122483642.39857918,0.46299999999999997
10,T MC CI RT CN,144355556.85515484,0.518
10,T MC CI RT CT,144355556.85515484,0.491
10,T MC CI CN CT,144355556.85515484,0.465
10,MC CI CHN RT CN,122483642.39857917,0.455
10,MC CI CHN RT CT,122483642.39857918,0.419
10,MC CI CHN CN CT,122483642.39857917,0.45899999999999996
10,MC CI RT CN CT,144355556.8551548,0.481
10,T MC CI CHN RT CN,122483642.39857918,0.578
10,T MC CI CHN RT CT,122483642.39857918,0.5419999999999999
10,T MC CI CHN CN CT,122483642.39857918,0.575
10,T MC CI RT CN CT,144355556.85515484,0.6040000000000001
10,MC CI CHN RT CN CT,122483642.39857917,0.5339999999999999
