QueryID,Tables,bayescard_Estimate
1,T MC,1334883.0
1,MI_IDX MC,3536.0838012929034
1,MI_IDX T,250.0
1,MI_IDX MC T,3536.0838012929034
2,T MC,227762.041225344
2,MI_IDX MC,141.4433520517161
2,MI_IDX T,1.4563879743505164
2,MI_IDX MC T,1.9135314657190496
3,T MC,165842.14119304527
3,MI_IDX MC,3536.0838012929034
3,MI_IDX T,11.547549369640578
3,MI_IDX MC T,13.748553492837658
4,T MC,639347.3160376552
4,MI_IDX MC,141.4433520517161
4,MI_IDX T,4.436233551062325
4,MI_IDX MC T,5.590748645462822
5,T MC,2609129.0
5,MK MC,132565.4057178676
5,MK T,38686.28571428572
5,MK MC T,132565.4057178676
6,MI T,4906226.863369456
6,MK T,1300263.7293472665
6,MK MI,235600464.2269614
6,MK T MI,59253467.546501786
7,MI T,1719370.5573681172
7,MK T,350818.1397003145
7,MK MI,235600464.2269614
7,MK T MI,14259014.62022124
8,MI T,9064803.557462338
8,MK T,2716403.9075923823
8,MK MI,235600464.2269614
8,MK T MI,155541857.41851085
9,MI_IDX T,152561.2981259967
9,MK T,1300263.7293472665
9,MK MI_IDX,3173170.2246840363
9,MK T MI_IDX,894439.0253027347
10,MI_IDX T,51610.57728506489
10,MK T,350818.1397003145
10,MK MI_IDX,3173170.2246840363
10,MK T MI_IDX,237098.79192778328
11,MI_IDX T,286548.9994012083
11,MK T,2716403.9075923823
11,MK MI_IDX,3173170.2246840363
11,MK T MI_IDX,1913835.6179291515
12,MI T,4906226.863369456
12,MC T,458917.8505178416
12,MC MI,29471819.510429487
12,MC T MI,8824564.452112531
13,MI T,1719370.5573681172
13,MC T,165842.14119304527
13,MC MI,29471819.510429487
13,MC T MI,2439552.4944624854
14,MI T,9064803.557462338
14,MC T,819382.6902567506
14,MC MI,29471819.510429487
14,MC T MI,19101343.960686583
15,T MK,78.78523998660023
15,CI MK,52802.82374754964
15,CI T,5951997.557650439
15,CI MK T,3033.0369231434674
16,T MK,895.1295635827288
16,CI MK,216537251.11608315
16,CI T,3024.995349194271
16,CI MK T,10156.744309965625
17,T MK,1.0
17,CI MK,52802.82374754964
17,CI T,3024.995349194271
17,CI MK T,4.864114298589873
18,T MK,463.8320589566671
