QueryID,Tables,mssql_Estimate
1,MC T,1292280.0
1,MI_IDX T,1174.24
1,MC MI_IDX,1397.53
1,MC MI_IDX T,1397.36
2,MC T,584614.0
2,MI_IDX T,228.435
2,MC MI_IDX,1397.53
2,MC MI_IDX T,271.754
3,MC T,459500.0
3,MI_IDX T,179.547
3,MC MI_IDX,1397.53
3,MC MI_IDX T,213.595
4,MC T,706927.0
4,MI_IDX T,642.353
4,MC MI_IDX,1397.53
4,MC MI_IDX T,764.166
5,MC T,2606610.0
5,MK T,41821.5
5,MC MK,100394.0
5,MC MK T,100345.0
6,MI T,5961490.0
6,MK T,1818890.0
6,MI MK,140747000.0
6,MI MK T,56583700.0
7,MI T,2266180.0
7,MK T,3666460.0
7,MI MK,140747000.0
7,MI MK T,21509500.0
8,MI T,10138800.0
8,MK T,3093410.0
8,MI MK,140747000.0
8,MI MK T,96232300.0
9,MI_IDX T,184957.0
9,MK T,1818890.0
9,MI_IDX MK,4366710.0
9,MI_IDX MK T,1755750.0
10,MI_IDX T,70308.8
10,MK T,3666460.0
10,MI_IDX MK,4366710.0
10,MI_IDX MK T,667424.0
11,MI_IDX T,314557.0
11,MK T,3093410.0
11,MI_IDX MK,4366710.0
11,MI_IDX MK T,2986020.0
12,MI T,5961490.0
12,MC T,1208780.0
12,MC MI,17645900.0
12,MC MI T,16487700.0
13,MI T,2266180.0
13,MC T,459500.0
13,MC MI,17645900.0
13,MC MI T,6267590.0
14,MI T,10138800.0
14,MC T,884033.0
14,MC MI,17645900.0
14,MC MI T,12058200.0
15,MK T,86.2041
15,CI T,5998980.0
15,CI MK,1653.42
15,CI MK T,1339.91
16,MK T,2746.62
16,CI T,4493.96
16,CI MK,70323800.0
16,CI MK T,8730.16
17,MK T,1.0
17,CI T,4493.96
17,CI MK,1653.42
17,CI MK T,15.5434
18,MK T,58.16
18,CI T,21462200.0
18,CI MK,1653.42
18,CI MK T,904.006
19,MK T,2473680.0
19,CI T,21462200.0
19,CI MK,70323800.0
19,CI MK T,38449400.0
20,CI T,4616690.0
21,CI T,701766.0
22,CI T,21685500.0
23,CI T,7438910.0
23,MC T,2606610.0
23,CI MC,8338940.0
23,CI MC T,8330160.0
24,CI T,2724160.0
24,MC T,2606610.0
24,CI MC,3053750.0
24,CI MC T,3050540.0
25,CI T,275919.0
25,MC T,2606610.0
25,CI MC,309302.0
25,CI MC T,308976.0
26,CI T,3243740.0
26,MC T,2437490.0
26,CI MC,8338940.0
26,CI MC T,3632370.0
27,CI T,802710.0
27,MC T,603192.0
27,CI MC,8338940.0
27,CI MC T,898882.0
28,MC T,2438180.0
28,CI T,5516940.0
28,CI MC,14178800.0
28,CI MC T,6177920.0
29,MC T,926841.0
29,CI T,2097190.0
29,CI MC,14178800.0
29,CI MC T,2348450.0
30,MC T,1783150.0
30,CI T,26839100.0
30,CI MC,40558300.0
30,CI MC T,27716200.0
31,MK T,3484.8
31,MC T,993636.0
31,MC MK,12543.0
31,MC MK T,4145.27
32,MK T,10539.3
32,MC T,1292280.0
32,MC MK,12543.0
32,MC MK T,12521.4
33,MK T,4068700.0
33,MC T,2345350.0
33,MC MK,10855100.0
33,MC MK T,9761890.0
34,MI T,168411.0
34,MI_IDX T,43695.5
34,MC T,285570.0
34,MI MI_IDX,3573450.0
34,MC MI,2110050.0
34,MC MI_IDX,547259.0
34,MI MI_IDX T,339426.0
34,MC MI T,200308.0
34,MC MI_IDX T,51981.7
34,MC MI MI_IDX,4251290.0
34,MC MI MI_IDX T,403793.0
35,MI T,110714.0
35,MI_IDX T,1174.24
35,MC T,2606610.0
35,MI MI_IDX,570.086
35,MC MI,265887.0
35,MC MI_IDX,2818.91
35,MI MI_IDX T,570.015
35,MC MI T,265615.0
35,MC MI_IDX T,2817.66
35,MC MI MI_IDX,1367.97
35,MC MI MI_IDX T,1367.79
36,MI T,601390.0
