QueryID,Tables,duckdb_Estimate,duckdb_InferenceTime
1,MC T,1362227,193.03321838378906
1,MI_IDX T,288206,9.540796279907227
1,MC MI_IDX,483479,8.635520935058594
1,MC MI_IDX T,155282,9.346246719360352
2,MC T,272445,8.645772933959961
2,MI_IDX T,57641,2.110719680786133
2,MC MI_IDX,483479,8.389949798583984
2,MC MI_IDX T,31056,11.363744735717773
3,MC T,272445,8.446216583251953
3,MI_IDX T,57641,1.825571060180664
3,MC MI_IDX,483479,8.194923400878906
3,MC MI_IDX T,31056,9.178876876831055
4,MC T,272445,8.52656364440918
4,MI_IDX T,57641,1.8270015716552734
4,MC MI_IDX,483479,8.134841918945312
4,MC MI_IDX T,31056,9.557247161865234
5,MC T,2724454,1.8908977508544922
5,MK T,83,30.710697174072266
5,MC MK,280,2.4340152740478516
5,MC MK T,90,2.6581287384033203
6,MI T,2780168,1.8477439880371094
6,MK T,944777,1.7504692077636719
6,MI MK,24872916,1.1355876922607422
6,MI MK T,4661108,2.329587936401367
7,MI T,2780168,2.1076202392578125
7,MK T,944777,1.5804767608642578
7,MI MK,24872916,1.974344253540039
7,MI MK T,4661108,3.6170482635498047
8,MI T,2780168,1.7697811126708984
8,MK T,944777,1.598358154296875
8,MI MK,24872916,1.1229515075683594
8,MI MK T,4661108,2.3224353790283203
9,MI_IDX T,72051,79.71954345703125
9,MK T,944777,2.1505355834960938
9,MI_IDX MK,16104300,5.806684494018555
9,MI_IDX MK T,134621,4.668951034545898
10,MI_IDX T,72051,4.067182540893555
10,MK T,944777,1.6372203826904297
10,MI_IDX MK,16104300,3.531932830810547
10,MI_IDX MK T,134621,4.700183868408203
11,MI_IDX T,72051,4.026174545288086
11,MK T,944777,1.6167163848876953
11,MI_IDX MK,16104300,3.526449203491211
11,MI_IDX MK T,134621,4.772424697875977
12,MI T,2780168,1.9023418426513672
12,MC T,272445,8.603572845458984
12,MC MI,7172599,8.006811141967773
12,MC MI T,1344123,9.094953536987305
13,MI T,2780168,1.9676685333251953
13,MC T,272445,8.338689804077148
13,MC MI,7172599,7.8792572021484375
13,MC MI T,1344123,9.100198745727539
14,MI T,2780168,1.6751289367675781
14,MC T,272445,8.811473846435547
14,MC MI,7172599,7.960796356201172
14,MC MI T,1344123,8.968353271484375
15,MK T,188955,5.249261856079102
15,CI T,5560902,1.6791820526123047
15,CI MK,9950176,1.70135498046875
15,CI MK T,1526637,6.955623626708984
16,MK T,944777,1.827239990234375
16,CI T,5560902,2.4394989013671875
16,CI MK,49750884,2.616405487060547
16,CI MK T,7633185,3.1189918518066406
17,MK T,188955,1.7681121826171875
17,CI T,5560902,2.0630359649658203
17,CI MK,9950176,3.597736358642578
17,CI MK T,1526637,4.398822784423828
18,MK T,188955,2.6738643646240234
18,CI T,5560902,2.0394325256347656
18,CI MK,9950176,3.8175582885742188
18,CI MK T,1526637,3.3609867095947266
19,MK T,944777,4.437446594238281
19,CI T,5560902,2.4297237396240234
