QueryID,Tables,factorjoin_Estimate
1,T MC,1275400.0
1,MI_IDX MC,7800.0
1,MI_IDX T,300.0
1,MI_IDX MC T,7800.0
2,T MC,1259800.0
2,MI_IDX MC,6508.409786708309
2,MI_IDX T,98.83379769353678
2,MI_IDX MC T,6441.931690138294
3,T MC,1234100.0
3,MI_IDX MC,7800.0
3,MI_IDX T,1.0
3,MI_IDX MC T,10.0
4,T MC,1265900.0
4,MI_IDX MC,6508.409786708309
4,MI_IDX T,99.40385569931198
4,MI_IDX MC T,6478.616484364527
5,T MC,2534132.0
5,MK MC,2606700.0
5,MK T,41000.0
5,MK MC T,2606700.0
6,MI T,13270753.0
6,MK T,2102076.0
6,MK MI,247968681.0
6,MK T MI,134658063.0
7,MI T,12562688.0
7,MK T,665000.0
7,MK MI,247968681.0
7,MK T MI,79337550.0
8,MI T,13717365.0
8,MK T,3261710.0
8,MK MI,247968681.0
8,MK T MI,197305274.0
9,MI_IDX T,450200.0
9,MK T,2102076.0
9,MK MI_IDX,3992480.0
9,MK T MI_IDX,3233000.0
10,MI_IDX T,404600.0
10,MK T,665000.0
10,MK MI_IDX,3992480.0
10,MK T MI_IDX,1983900.0
11,MI_IDX T,454600.0
11,MK T,3261710.0
11,MK MI_IDX,3992480.0
11,MK T MI_IDX,3702900.0
12,MI T,13270753.0
12,MC T,1259800.0
12,MC MI,731467719.0
12,MC T MI,720093131.0
13,MI T,12562688.0
13,MC T,1234100.0
13,MC MI,731467719.0
13,MC T MI,701075867.0
14,MI T,13717365.0
14,MC T,1269300.0
14,MC MI,731467719.0
14,MC T MI,727047407.0
15,T MK,64.65312239579305
15,CI MK,64595.66889850196
15,CI T,32104551.0
15,CI MK T,46767.359928204016
16,T MK,3100.0
16,CI MK,263476410.0
16,CI T,470600.0
16,CI MK T,1773800.0
17,T MK,25.397232052662176
17,CI MK,64595.66889850196
17,CI T,470600.0
17,CI MK T,17234.343303278343
18,T MK,89.60976407680933
18,CI MK,64595.66889850196
18,CI T,33137146.0
18,CI MK T,59512.71584662008
19,T MK,2697770.0
19,CI MK,263476410.0
19,CI T,33137146.0
19,CI MK T,214987791.0
20,T CI,32772779.0
21,T CI,26178036.0
22,T CI,33241201.0
23,T CI,6786000.0
23,MC CI,426660300.0
23,MC T,2534132.0
23,MC CI T,426660300.0
24,T CI,2509400.0
24,MC CI,157467600.0
24,MC T,2534132.0
24,MC CI T,157467600.0
25,T CI,265000.0
25,MC CI,16835000.0
25,MC T,2534132.0
25,MC CI T,16835000.0
26,T CI,6723300.0
26,MC CI,426660300.0
26,MC T,2448233.0
26,MC CI T,422750700.0
27,T CI,6699500.0
27,MC CI,426660300.0
27,MC T,2357838.0
27,MC CI T,421144700.0
28,CI T,11482800.0
28,MC T,2448233.0
28,MC CI,733283000.0
28,MC T CI,723466900.0
29,CI T,11208100.0
29,MC T,2302287.0
29,MC CI,733283000.0
29,MC T CI,705502100.0
30,CI T,33231809.0
30,MC T,2506444.0
30,MC CI,1725269572.0000002
30,MC T CI,1717004656.0000002
31,MK T,11400.0
31,MC T,1265900.0
31,MC MK,742300.0
31,MC T MK,727700.0
32,MK T,11600.0
32,MC T,1275400.0
32,MC MK,742300.0
32,MC T MK,742300.0
33,MK T,3946984.0
33,MC T,2512177.0
33,MC MK,38203198.0
33,MC T MK,32996781.0
34,MI T,1419600.0
34,MI_IDX T,377600.0
34,MC T,1250100.0
34,MI_IDX MI,5983300.0
34,MC MI,90802100.0
34,MC MI_IDX,5286200.0
34,MI_IDX T MI,5880900.0
34,MC T MI,89280500.0
34,MC T MI_IDX,5197600.0
34,MC MI MI_IDX,379327400.0
34,MC T MI MI_IDX,373239500.0
35,MI T,107200.0
35,MI_IDX T,99.9186977141884
35,MC T,2534132.0
35,MI_IDX MI,56173.45248490074
35,MC MI,6725500.0
35,MC MI_IDX,6510.271913393501
35,MI_IDX T MI,56173.45248490074
35,MC T MI,6725500.0
35,MC T MI_IDX,6510.271913393501
35,MC MI MI_IDX,3634981.651479853
35,MC T MI MI_IDX,3634981.651479853
36,MI T,1437900.0
36,MI_IDX T,453000.0
36,MC T,1265900.0
36,MI_IDX MI,5983300.0
36,MC MI,90802100.0
36,MC MI_IDX,5286200.0
36,MI_IDX T MI,5960200.0
36,MC T MI,90373300.0
36,MC T MI_IDX,5262700.0
36,MC MI MI_IDX,379327400.0
36,MC T MI MI_IDX,377925100.0
37,MI T,2632700.0
37,MC T,1270800.0
37,MI_IDX T,454900.0
37,MC MI,165068600.0
37,MI_IDX MI,10847600.0
37,MI_IDX MC,5286200.0
37,MC T MI,163807900.0
37,MI_IDX T MI,10790500.0
37,MI_IDX T MC,5277200.0
37,MI_IDX MI MC,679021700.0
37,MI_IDX T MI MC,676166700.0
38,MI T,1179699.9999999998
38,MI_IDX T,318400.0
38,MK T,208400.0
38,MI_IDX MI,4985299.999999999
38,MK MI,6525800.0
38,MK MI_IDX,3992480.0
38,MI_IDX T MI,4866899.999999999
38,MK T MI,3944900.0
38,MK T MI_IDX,882100.0
38,MK MI MI_IDX,25923600.0
38,MK T MI MI_IDX,17785800.0
39,MI T,1208499.9999999998
39,MI_IDX T,454900.0
39,MK T,3095250.0
39,MI_IDX MI,4985299.999999999
39,MK MI,6525800.0
39,MK MI_IDX,3992480.0
39,MI_IDX T MI,4981899.999999999
39,MK T MI,6140300.0
39,MK T MI_IDX,3755576.0
39,MK MI MI_IDX,25923600.0
39,MK T MI MI_IDX,25276900.0
40,MI T,1202999.9999999998
40,MI_IDX T,450200.0
40,MK T,2102076.0
40,MI_IDX MI,4985299.999999999
40,MK MI,6525800.0
40,MK MI_IDX,3992480.0
40,MI_IDX T MI,4966099.999999999
40,MK T MI,5318900.0
40,MK T MI_IDX,3233000.0
40,MK MI MI_IDX,25923600.0
40,MK T MI MI_IDX,23131100.0
41,MI T,2605900.0
41,MC T,2488424.0
41,MK T,2697770.0
41,MC MI,165855700.0
41,MK MI,38636900.0
41,MK MC,38203198.0
41,MC T MI,162702000.0
41,MK T MI,27646300.0
41,MK T MC,28866528.0
41,MK MI MC,2439106800.0
41,MK T MI MC,1794788400.0
42,MI T,2554600.0
42,MC T,2432330.0
42,MK T,1243452.0
42,MC MI,165855700.0
42,MK MI,38636900.0
42,MK MC,38203198.0
42,MC T MI,159403600.0
42,MK T MI,21176900.0
42,MK T MC,22777279.0
42,MK MI MC,2439106800.0
42,MK T MI MC,1382237500.0
43,MI T,2626100.0
43,MC T,2506444.0
43,MK T,3261710.0
43,MC MI,165855700.0
43,MK MI,38636900.0
43,MK MC,38203198.0
43,MC T MI,163913900.0
43,MK T MI,31023100.0
43,MK T MC,31808791.0
43,MK MI MC,2439106800.0
43,MK T MI MC,1993420500.0
44,T CI,33374508.0
44,MK CI,29823000.0
44,MC CI,1725269572.0000002
44,MK T,41000.0
44,MC T,2534132.0
44,MC MK,2606700.0
44,MK CI T,29823000.0
44,MC CI T,1725269572.0000002
44,MC CI MK,1943137400.0
44,MC T MK,2606700.0
44,MC CI T MK,1943137400.0
45,MI T,107200.0
45,MI_IDX T,453464.0
45,CI T,33374508.0
45,MI_IDX MI,443800.0
45,CI MI,78980100.0
45,CI MI_IDX,137793667.0
45,MI_IDX T MI,443800.0
45,CI T MI,78980100.0
45,CI T MI_IDX,137793667.0
45,CI MI MI_IDX,328455600.0
45,CI T MI MI_IDX,328455600.0
46,MI T,1429100.0
46,MI_IDX T,444900.0
46,CI T,32770425.0
46,MI_IDX MI,5983300.0
46,CI MI,1075801900.0
46,CI MI_IDX,137632332.0
46,MI_IDX T MI,5934700.0
46,CI T MI,1068075500.0
46,CI T MI_IDX,135985069.0
46,CI MI MI_IDX,4482155300.0
46,CI T MI MI_IDX,4460044200.0
47,MI T,1444900.0
47,MI_IDX T,453464.0
47,CI T,33374508.0
47,MI_IDX MI,5994400.0
47,CI MI,1075801900.0
47,CI MI_IDX,137793667.0
47,MI_IDX T MI,5994400.0
47,CI T MI,1075801900.0
47,CI T MI_IDX,137793667.0
47,CI MI MI_IDX,4489118500.0
47,CI T MI MI_IDX,4489118500.0
48,MI T,2538100.0
48,MC T,2406235.0
48,CI T,6706400.0
48,MC MI,165855700.0
48,CI MI,1912776600.0
48,CI MC,426660300.0
48,MC T MI,158390600.0
48,CI T MI,1866117500.0
48,CI T MC,421727400.0
48,CI MI MC,121131407099.99998
48,CI T MI MC,118211032099.99998
49,MI T,2658900.0
49,MC T,2534132.0
49,CI T,6786000.0
49,MC MI,165855700.0
49,CI MI,1912776600.0
49,CI MC,426660300.0
49,MC T MI,165855699.99999997
49,CI T MI,1912776600.0
49,CI T MC,426660300.0
49,CI MI MC,121131407099.99998
49,CI T MI MC,121131407099.99998
50,MI T,2605900.0
50,MC T,2488424.0
50,CI T,6755400.0
50,MC MI,165855700.0
50,CI MI,1912776600.0
50,CI MC,426660300.0
50,MC T MI,162702000.0
50,CI T MI,1893914600.0
50,CI T MC,424816100.0
50,CI MI MC,121131407099.99998
50,CI T MI MC,119981888799.99998
51,CI T,33260384.0
51,MK T,2536489.0
51,MK CI,263476410.0
51,MK T CI,236394626.0
52,CI T,33046228.0
52,MK T,1196663.0
52,MK CI,263476410.0
52,MK T CI,208766955.0
53,MK T,11400.0
53,MC T,1265900.0
53,MI T,13540402.0
53,MC MK,742300.0
53,MI MK,7862800.0
53,MI MC,731467719.0
53,MC T MK,727700.0
53,MI T MK,7696800.0
53,MI T MC,724736307.0
53,MI MK MC,499102200.0
53,MI T MK MC,486984200.0
54,MK T,11200.0
54,MC T,1265900.0
54,MI T,13574970.0
54,MC MK,742300.0
54,MI MK,7862800.0
54,MI MC,731467719.0
54,MC T MK,718000.0
54,MI T MK,7606300.0
54,MI T MC,724484531.0
54,MI MK MC,499102200.0
54,MI T MK MC,483726200.0
55,MK T,11600.0
55,MC T,1270600.0
